,name,city,state,nirfRank,rank
2186,"Kamineni Inst. of Dental Sciences, Narketpally",Nalgonda,Telangana,nan,nan
2187,Kanchi Mamunivar Government Institute for Postgraduate Studies and Research,Puducherry,Pondicherry,nan,nan
2188,Kandaswami Kandars College,Namakkal,Tamil Nadu,nan,nan
2189,Kandra Radha Kanta Kundu Mahavidyalaya,Kandra,West Bengal,nan,nan
2190,Kandula Lakshumma Memorial College of Engineering for Women,Kadapa,Andhra Pradesh,nan,nan
2191,"Kanoria P G Mahila Mahavidyalaya, Jaipur",Jaipur,Rajasthan,nan,nan
2192,Kanya Maha Vidyalaya Jalandhar,Jalandhar,Punjab,nan,nan
2193,"Kanya Mahavidyalaya, Kharkhoda",Sonipat,Haryana,nan,nan
2194,"Karamvir Dadasaheb Kannamwar Engineering College, Nandanvan",Nagpur,Maharashtra,nan,nan
2195,Karim City College Jamshedpur,JAMSHEDUR,Jharkhand,nan,nan
2196,Karmaveer Bahurao Patil Institute of Management Studies & Research,Satara,Maharashtra,nan,nan
2197,Karmaveer Bhaurao Patil College of Engineering,Satara,Maharashtra,nan,nan
2198,"Karmaveer Kakasaheb Wagh Education Societys Arts, Commerce, Science & Computer Science College, Nashik",Nashik,Maharashtra,nan,nan
2199,Karmaveer Mamasaheb Jagdale Mahavidyalaya,Washi,Maharashtra,nan,nan
2200,"Karmaveer Shankarrao Kale Education Society`s Sau.Sushilamai Kale Arts,Commerce & Science College Gautamnagar",Kopargaon,Maharashtra,nan,nan
2201,Karmveer Bhaurao Patil Mahavidyalya,Pandharpur,Maharashtra,nan,nan
2202,"Karnatak Science College, Dharwad",Dharwad,Karnataka,nan,nan
2203,"Karnataka Arts Science & Commerce Degree College, Bidar",Bidar,Karnataka,nan,nan
2204,"Karnataka Sanghas Manjunatha College of Commerce Manjunatha College Building anchagaon, East Thane",Dombivli,Maharashtra,nan,nan
2205,Karnataka State Law University,Dharwad,Karnataka,nan,nan
2206,Karnavati University,Gandhinagar,Gujarat,31,nan
2207,Karpaga Vinayaga College of Engineering and Technology,Chengalpet,Tamil Nadu,nan,nan
2208,Karpaga Vinayaga Institute Of Dental sciences,Chengalpattu,Tamil Nadu,nan,nan
2209,Karpagam College ,Coimbatore,Tamil Nadu,273,nan
2210,Karpagam College of Engineering,Coimbatore,Tamil Nadu,nan,nan
2211,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,107,nan
2212,Kasegaon Education Society`s Rajarambapu Institute of Technology,Islampur,Maharashtra,nan,nan
2213,Kasegaon Education Society`s Smt. Kusumtai Rajarambapu Patil Kanya Mahavidyalaya,Sangli,Maharashtra,nan,nan
2214,Kashi Institute of Technology,Varanasi,Uttar Pradesh,nan,nan
2215,Kasthurba College for Women,Puducherry,Pondicherry,nan,nan
2216,Kasturba Gandhi Degree College for Women,Hyderabad,Telangana,nan,nan
2217,"Kasturba Medical College, Mangalore",nan,nan,31,nan
2218,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,nan,nan
2219,"Kasturba Medical College, Manipal",nan,nan,10,nan
2220,"Kasturba Medical College, Manipal",Manipal,Karnataka,nan,nan
2221,Kathir College of Arts and Science,Coimbatore,Tamil Nadu,nan,nan
2222,"Katras College, Katrasgarh",DHANBAD,Jharkhand,nan,nan
2223,Katwa College,Barddhaman,West Bengal,nan,nan
2224,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Ramtek,Maharashtra,nan,nan
2225,Kavikulguru Institute of Technology and Science,Ramtek,Maharashtra,nan,nan
2226,"Kavitha Memorial Degree College, NST Road, Khammam",Khammam,Telangana,nan,nan
2227,Kendrapara Autonomous College,Kendrapara,Odisha,nan,nan
2228,Kerala University,Thiruvananthapuram,Kerala,nan,40
2229,Keshav Mahavidyalya,Delhi,Delhi,nan,nan
2230,Keshav Memorial Degree & P.G. College,Hyderabad,Telangana,nan,nan
2231,Keshav Memorial Institute of Technology,Hyderabad,Telangana,nan,nan
2232,Khadir Mohideen College,Adirampattinam,Tamil Nadu,nan,nan
2233,Khalsa College,Amritsar,Punjab,nan,nan
2234,Khalsa College for Women,Amritsar,Punjab,nan,nan
2235,Khammam Institute of Technology & Science,khammam,Telangana,nan,nan
2236,"Khandesh College Education Society?s College of Engineering and Management, Jalgaon",Jalgaon,Maharashtra,nan,nan
2237,Kharagpur College,Kharagpur,West Bengal,nan,nan
2238,Khowang College,Khowang Ghat,Assam,nan,nan
2239,Kidwai Memorial Institute of Oncology,Bangalore,Karnataka,nan,nan
2240,King George`s Medical University,nan,nan,11,nan
2241,King George`s Medical University,Lucknow,Uttar Pradesh,nan,50
2242,Kings College of Engineering,Pudukkottai,Tamil Nadu,nan,nan
2243,Kings Engineering College,Sriperumbudur,Tamil Nadu,nan,nan
2244,Kirloskar Institute of Advanced Management Studies,Harihar,Karnataka,nan,nan
2245,Kirori Mal College,Delhi,Delhi,nan,nan
2246,"Kisan Veer Mahavidyalaya, Wai",Wai,Maharashtra,nan,nan
2247,Kishinchand Chellaram College,Mumbai,Maharashtra,nan,nan
2248,"Km. Mayawati Government Mahila Degree College, Badalpur",Gautam Budh Nagar,Uttar Pradesh,nan,nan
2249,Knowledge Institute of Technology,Salem,Tamil Nadu,nan,nan
2250,"Kodachadri Government First Grade College, Hosanagara",Hosanagara,Karnataka,nan,nan
2251,Kokrajhar Government College,Kokrajhar,Assam,nan,nan
2252,Kolhapur Institute of Technology's Institute of Management Education and Research,Kolhapur,Maharashtra,nan,nan
2253,Kolhapur Institute of Technology`s College of Engineering (Autonomous),Kolhapur,Maharashtra,nan,nan
2254,Kommuri Pratap Reddy Institute of Technology,Hyderabad,Telangana,nan,nan
2255,Konaseema Institute of Medical Sciences Research Foundation,Amalapuram,Andhra Pradesh,nan,nan
2256,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,nan,27
2257,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),nan,nan,47,nan
2258,Kongu Arts & Science College,Erode,Tamil Nadu,nan,nan
2259,Kongu Engineering College,Perundurai,Tamil Nadu,118,nan
2260,Kongunadu Arts & Science College,Coimbatore,Tamil Nadu,nan,nan
2261,Kongunadu College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,nan,nan
2262,Konkan Education Societys Dr Chintamanrao Deshmukh Commerce Sau KG Tamhane Arts College Roha Dist Raigad,ROHA,Maharashtra,nan,nan
2263,"Kopargaon Taluka Education Societys K.J.Somaiya College of Arts,Commerce & Science College, Dist.Ahmednagar",Kopargaon,Maharashtra,nan,nan
2264,Kovai Kalaimagal College of Arts and Science,Coimbatore,Tamil Nadu,nan,nan
2265,Krantiagrani G. D. Bapu Lad Arts College,Sangli,Maharashtra,nan,nan
2266,"Krantiveer Vasantrao Narayanrao Naik Education Societys Arts, Commerce & Science College, Nashik",Nashik,Maharashtra,nan,nan
2267,"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sansthas Arts & Commerce College, Dist.Nashik",Dindori,Maharashtra,nan,nan
2268,Krea University,"Sri city, Chittoor",Andhra Pradesh,nan,nan
2269,Krea University,nan,nan,60,nan
2270,"Krishna Engineering College, Ghaziabad",Ghaziabad,Uttar Pradesh,nan,nan
2271,"Krishna Institute of Medical Sciences Deemed University, Karad",nan,nan,42,nan
2272,"Krishna Institute of Medical Sciences Deemed University, Karad",Karad,Maharashtra,nan,73
2273,"Krishna Mahavidyalaya, Rethare BK",Karad,Maharashtra,nan,nan
2274,Krishnadevaraya College of Dental Sciences & Hospital,Bengaluru,Karnataka,nan,nan
2275,Krishnagar Government College,Nadia,West Bengal,nan,nan
2276,Krishnanath College,Murshidabad,West Bengal,nan,nan
2277,Krishnaswamy College of Engineering,Cuddalore,Tamil Nadu,nan,nan
2278,Kristu Jayanti College,Bengaluru,Karnataka,nan,nan
2279,Krupanidhi College of Commerce and Management,Bengaluru,Karnataka,nan,nan
2280,Krupanidhi Degree College,Bangaluru,Karnataka,nan,nan
2281,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,108,nan
2282,Kumararani Meena Muthiah College of Arts and Science,Chennai -,Tamil Nadu,nan,nan
2283,Kumbi College,Bishnupur,Manipur,nan,nan
2284,Kunthavai Naacchiyaar Government Arts College for Women,Thanjavur,Tamil Nadu,nan,nan
2285,Kunwar Satyavira College of Engineering and Management,Bijnor,Uttar Pradesh,nan,nan
2286,Kuppam Engineering College,Kuppam,Andhra Pradesh,nan,nan
2287,"Kuriakose Elias College, Mannanam, Kottayam",Kottayam,Kerala,nan,nan
2288,"Kuriakose Gregorios College, Pampady",Kottayam,Kerala,nan,nan
2289,Kurnool Medical College,Kurnool,Andhra Pradesh,nan,nan
2290,Kurukshe,Kurukshetra,Haryana,274,nan
2291,Kurukshetra University,Kurukshetra,Haryana,nan,nan
2292,Kuvempu University,Shivamogga,Karnataka,nan,86
2293,L N Government College,Thiruvallur,Tamil Nadu,nan,nan
2294,L. N. College of Nursing,Bhopal,Madhya Pradesh,nan,nan
2295,L. N. Medical College,Bhopal,Madhya Pradesh,nan,nan
2296,L. V. D. College,Raichur,Karnataka,nan,nan
2297,"L.B. Mahavidyalaya, Mirjagunj",Jamua,Jharkhand,nan,nan
2298,"L.B.S Government First Grade College, Bangalore",Bangalore,Karnataka,nan,nan
2299,L.B.S. Arya Mahila College,Barnala,Punjab,nan,nan
2300,"L.D.College of Engineering, Ahmedabad",Ahmedabad,Gujarat,nan,nan
2301,L.J.Institue of Engineering and Technology (SFI) - Ahmedabad,Ahmadabad,Gujarat,nan,nan
2302,L.J.Institute of Computer Applications (SFI)-Ahmedabad,Ahmedabad,Gujarat,nan,nan
2303,"LBS College, Sironj, Vidisha",SIRONJ,Madhya Pradesh,nan,nan
2304,LDC Institute of Technical Studies,Soraon Allahabad,Uttar Pradesh,nan,nan
2305,LNCT University,Bhopal,Madhya Pradesh,nan,nan
2306,LRG Government Arts College for Women,Tiruppur,Tamil Nadu,nan,nan
2307,"Lady Amritabai Daga College for Women of Arts, Commerce and Science and Smt. Ratnidevi Purohi College of Home Science and Technology",Nagpur,Maharashtra,nan,nan
2308,Lady Doak College,Madurai,Tamil Nadu,nan,nan
2309,Lady Hardinge Medical College,New Delhi,Delhi,nan,nan
2310,Lady Hardinge Medical College,nan,nan,29,nan
2311,Lady Irwin College,Delhi,Delhi,nan,nan
2312,Lady Shri Ram College For Women,New Delhi,Delhi,nan,nan
2313,Lakhimpur Girls College,North Lakhimpur,Assam,nan,nan
2314,Lakireddy Bali Reddy College ,Mylavaram,Andhra Pradesh,275,nan
2315,Lakireddy Bali Reddy College of Engineering,Mylavaram,Andhra Pradesh,nan,nan
2316,Lakshmi Bai College,Delhi,Delhi,nan,nan
2317,Lakshmi Narain College,Bhopal,Madhya Pradesh,276,nan
2318,Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh,nan,nan
2319,Lakshmi Narain College of Technology & Science,Bhopal,Madhya Pradesh,nan,nan
2320,Lakshmi Narain College of Technology Excellence,Bhopal,Madhya Pradesh,nan,nan
2321,"Lal Bahadur Shastri College of Arts, Science and Commerce",Satara,Maharashtra,nan,nan
2322,Lal Bahadur Shastri Memorial College,Jamshedpur,Jharkhand,nan,nan
2323,Lamka College,Churachandpur,Manipur,nan,nan
2324,"Late Bhaskarrao Shingane Arts, Prof. Narayanrao Gawande Science and Ashalata Gawande Commerce College","Sakharkherda, District-Buldana",Maharashtra,nan,nan
2325,"Late Dattatraya Pusadkar Kala Mahavidyalaya, Nandgaon Peth",Amravati,Maharashtra,nan,nan
2326,"Late Narayanrao Amritrao Deshmukh Arts, Commerce College, Chandur Bazar",Chandur Bazar,Maharashtra,nan,nan
2327,Late Ramesh Warpudkar Arts & Commerce College,Sonpeth,Maharashtra,nan,nan
2328,"Late Sow. Kamaltai Jamkar Mahila Mahavidyalaya, Parbhani",Parbhani,Maharashtra,nan,nan
2329,"Late Sow. Sheshabai Sitaram Munde Arts College, Gangakhed",Gangakhed,Maharashtra,nan,nan
2330,"Laxmi Institute of Technology, Valsad",Valsad,Gujarat,nan,nan
2331,Laxmibai Bhaurao Patil Mahila Mahavidyalaya,Solapur,Maharashtra,nan,nan
2332,Laxminarayan Institute,Nagpur,Maharashtra,277,nan
2333,Laxminarayan Institute of Technology,Nagpur,Maharashtra,nan,nan
2334,Ledo College,Tinsukia,Assam,nan,nan
2335,Lendi Institute of Engineering & Technology,Vizianagaram,Andhra Pradesh,nan,nan
2336,Liberal College,Imphal East,Manipur,nan,nan
2337,Lilong Haoreibi College,Thoubal,Manipur,nan,nan
2338,Lingaya`s Vidyapeeth,Faridabad,Haryana,nan,nan
2339,Lingayas Institute of Management and Technology,Vijayawada,Andhra Pradesh,nan,nan
2340,Little Flower College,Guruvayoor,Kerala,nan,nan
2341,Little Flower Degree College,Boduppal,Telangana,nan,nan
2342,"Lolmangal Bio-Technology College, Dist.-Solapur",Wadala,Maharashtra,nan,nan
2343,"Lonavala Education Trust`s Arts & Commerce College, Lonavala",Pune,Maharashtra,nan,nan
2344,Lords Institute of Engineering & Technology,Hyderabad,Telangana,nan,nan
2345,Loreto College,Kolkata,West Bengal,nan,nan
2346,Lourdes Matha College of Science and Technology,Trivandrum,Kerala,nan,nan
2347,Lovely Professional University,Phagwara,Punjab,nan,47
2348,Lovely Professional University,nan,nan,34,nan
2349,Loyala Academy,Hyderabad,Telangana,nan,nan
2350,Loyala First Grade Degree College,MANVI-584123,Karnataka,nan,nan
2351,Loyola College,Chennai,Tamil Nadu,nan,nan
2352,Loyola College of Social Sciences,Thiruvananthapuram,Kerala,nan,nan
2353,"Loyola College, Vettavalam",Tiruvannamalai,Tamil Nadu,nan,nan
2354,Loyola Degree College,Cuddapah,Andhra Pradesh,nan,nan
2355,Loyola Institute of Business Administration,nan,nan,86,nan
2356,Loyola Institute of Technology,Chennai,Tamil Nadu,nan,nan
2357,Loyola Institute of Technology and Science,Nagercoil,Tamil Nadu,nan,nan
2358,Loyola-ICAM College of Engineering and Technology,Chennai,Tamil Nadu,nan,nan
2359,Lucknow Public College of Professional Studies,Lucknow,Uttar Pradesh,nan,nan
2360,Lukhdhirji Engineering College,Morbi,Gujarat,nan,nan
2361,Lumding College,Lumding,Assam,nan,nan
2362,Luxmi Bai Institute of Dental Sciences & Hospital,Patiala,Punjab,nan,nan
2363,"M G College, Dumka",Dumka,Jharkhand,nan,nan
2364,M R Ambedkar Dental College & Hospital Institute,Bengaluru,Karnataka,nan,nan
2365,"M S Ramaiah College of Arts, Science, and Commerce",Bengaluru,Karnataka,nan,nan
2366,"M V N University, Palwal",Palwal,Haryana,nan,nan
2367,M. A. M. College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,nan,nan
2368,M. D. K. Girls` College,Dibrugarh,Assam,nan,nan
2369,"M. E. S College, Marampally, Aluva",Ernakulam,Kerala,nan,nan
2370,M. G. R. Educational and Rese,Chennai,Tamil Nadu,223,nan
2371,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,nan,nan
2372,M. G. Science Institute,Ahmedabad,Gujarat,nan,nan
2373,M. I. E. T. Engineering College,Tiruchirappalli,Tamil Nadu,nan,nan
2374,M. Kumarasamy College of Engineering,Karur,Tamil Nadu,nan,nan
2375,M. M. E. S. Women`s Arts & Science College,Vellore,Tamil Nadu,nan,nan
2376,M. R. Government Arts College,MANNARGUDI,Tamil Nadu,nan,nan
2377,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,67,nan
2378,M. S. Ramaiah Medical College,Bengaluru,Karnataka,nan,nan
2379,M. S. Ramaiah Medical College,nan,nan,38,nan
2380,M. U. C. Women`s College,Burdwan,West Bengal,nan,nan
2381,M. V. S. Government Degree & P. G. College,Mahabubnagar,Telangana,nan,nan
2382,"M.C.E. Society`s Abeda Inamdar Senior College of Arts, Science and Commerce (Autonomous), Pune",Pune,Maharashtra,nan,nan
2383,"M.D.S.D. Girls College, Ambala City",Ambala City,Haryana,nan,nan
2384,M.E.S College,Kottayam,Kerala,nan,nan
2385,"M.E.S College of Arts, Science & Commerce, Malleshwaram",Bengaluru,Karnataka,nan,nan
2386,"M.E.S. Arts, Commerce College, Mehakar",Mehkar,Maharashtra,nan,nan
2387,"M.G.M`S College of Engineering, Nanded",Nanded,Maharashtra,nan,nan
2388,"M.H. Shinde Arts and Commerce College, Tisangi",Kolhapur,Maharashtra,nan,nan
2389,M.J. College,Bhilai,Chhattisgarh,nan,nan
2390,"M.J.R. College of Engineering & Technology, Pulicherla",Chittoor,Andhra Pradesh,nan,nan
2391,"M.N. College, Shahabad-Markanda",Shahabad Markanda,Haryana,nan,nan
2392,"M.P. SHAH MEDICAL COLLEGE, JAMNAGAR",Jamnagar,Gujarat,nan,nan
2393,M.P. Shah Arts & Science College,Surendranagar,Gujarat,nan,nan
2394,"M.R. Degree College, Vizianagaram",Vizianagaram,Andhra Pradesh,nan,nan
2395,"M.S. Bidwe College of Engineering, Latur",Latur,Maharashtra,nan,nan
2396,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,14,nan
2397,"M.S.P. Mandal`s Arts,Science & Commerce College, Kille Dharur",Beed,Maharashtra,nan,nan
2398,"M.S.P.Mandal's Chhatrapati shahu Arts,Commerce & Science College",Aurangabad,Maharashtra,nan,nan
2399,M.V.Muthiah Government Arts College for Women,Dindigul,Tamil Nadu,nan,nan
2400,MAHATMA GANDHI MEDICAL COLLEGE AND RESEARCH INSTITUTE,Puducherry,Pondicherry,nan,nan
2401,"MALABAR DENTAL COLLEGE, MUNDUR",EDAPPAL,Kerala,nan,nan
2402,"MALD Government Degree College, Gadwal",GADWAL,Telangana,nan,nan
2403,MATS University,Raipur,Chhattisgarh,nan,nan
2404,MCKV Institute of Engineering,Howrah,West Bengal,nan,nan
2405,"MES Asmabi College, Kodungallur",Thrissur,Kerala,nan,nan
2406,MES Engineering College,Malappuram District,Kerala,nan,nan
2407,"MES Kalladi College, Mannarkkad",Palakkad,Kerala,nan,nan
2408,MES Keveeyam College,Valanchary,Kerala,nan,nan
2409,"MES Ponnani College, Ponnani",Malappuram,Kerala,nan,nan
2410,MES T. O. Abdulla Memorial College Kunnukara,Aluva,Kerala,nan,nan
2411,"MG College, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
2412,"MGM Dental College, Navi Mumbai",Navi Mumbai,Maharashtra,35,nan
2413,"MGM Institute of Health Sciences, Navi Mumbai",Navi Mumbai,Maharashtra,nan,nan
2414,"MGTSM's Arts,Science & Commerce College, Chopda",Chopda,Maharashtra,nan,nan
2415,"MGVC Arts/Science/Commerce College, Muddebihal",VIJAYAPURA,Karnataka,nan,nan
2416,"MGVs Karmaveer Bhausaheb Hire Dental College, Nashik",Nashik,Maharashtra,37,nan
2417,MICA,nan,nan,42,nan
2418,MIT Academy of Engineering,Pune,Maharashtra,nan,nan
2419,"MIT Art, Design and Technology University, Pune",Pune,Maharashtra,nan,nan
2420,"MIT Arts, Commerce and Science College, Pune",Pune,Maharashtra,nan,nan
2421,"MKLMs, B L Amlani College of Commerce & Economivs & M R Nathwani College of Arts",Mumbai,Maharashtra,nan,nan
2422,"MKR Government College, Devarkonda",DEVARAKONDA,Telangana,nan,nan
2423,MKSSS`s Cummins College of Engineering for Women,Nagpur,Maharashtra,nan,nan
2424,"MLA Academy of Higher Learning, 14th Cross, Malleswaram",Bangalore,Karnataka,nan,nan
2425,"MLB Girls College, Bhopal",Bhopal,Madhya Pradesh,nan,nan
2426,MLR Institute of Technology,Hyderabad,Telangana,nan,nan
2427,MM College of Technology,Raipur,Chhattisgarh,nan,nan
2428,MNR College of Engineering & Technology,Sangareddy,Telangana,nan,nan
2429,MNR Dental College,Sangareddy,Telangana,nan,nan
2430,"MNR Medical College, Sanagareddy","Sanga Reddy, Hyderabad",Telangana,nan,nan
2431,MOP Vaishnav College for Women,Chennai,Tamil Nadu,nan,nan
2432,MP Deo Memorial Science College,Nagpur,Maharashtra,nan,nan
2433,"MPESs SDM Arts, Science, Commerce & B.B.A. College, Honnavar",Uttara Kannada,Karnataka,nan,nan
2434,"MPM MSN Trust College, Shornur",Palakkad,Kerala,nan,nan
2435,MRR Institute of Technology & Science,Udayagiri,Andhra Pradesh,nan,nan
2436,MSR National Degree College,visakhapatnam,Andhra Pradesh,nan,nan
2437,MSRS Siddardha Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
2438,MVJ College of Engineering,Bengaluru,Karnataka,nan,nan
2439,MVR College of Engineering & Technology,Vijayawada,Andhra Pradesh,nan,nan
2440,MVR Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
2441,MVSR Engineering College,Hyderabad,Telangana,nan,nan
2442,Maa Santi Devi College Kutghan Sabalgarh,SABALGARH,Madhya Pradesh,nan,nan
2443,"Maa Shanti Devi Mahavidyalaya, Badokhar,Morena",MORENA,Madhya Pradesh,nan,nan
2444,Madan Mohan Malaviya University,Gorakhpur,Uttar Pradesh,278,nan
2445,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,nan,nan
2446,Madanapalle Institute of Techno,Madanapalle,Andhra Pradesh,279,nan
2447,Madanapalle Institute of Technology & Science,Madanapalle,Andhra Pradesh,nan,nan
2448,"Madhav Institute of Technology and Science, Gwalior",Gwalior,Madhya Pradesh,nan,nan
2449,Madhav Mahavidyalaya,GWALIOR,Madhya Pradesh,nan,nan
2450,"Madhav Science College, Kothi Road, Ujjain",Ujjain,Madhya Pradesh,nan,nan
2451,Madhuben and Bhanubhai Patel Institute of Technology,New Vallabh Vidyanagar,Gujarat,nan,nan
2452,"Madhupur College, Deoghar",MADHUPUR,Jharkhand,nan,nan
2453,Madras Christian College,Chennai,Tamil Nadu,nan,nan
2454,"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,nan,nan
2455,"Madras Medical College & Government General Hospital, Chennai",nan,nan,12,nan
2456,Madras School of Social Work,Chennai,Tamil Nadu,nan,nan
2457,Madura College,Madurai,Tamil Nadu,nan,nan
2458,Madurai Institute of Social Science College,Madurai,Tamil Nadu,nan,nan
2459,Madurai Kamaraj University,Madurai,Tamil Nadu,nan,52
2460,"Madurai Sivakasi Nadar Pioneer Meenaksmi Women college, Poovanthi",Sivaganga,Tamil Nadu,nan,nan
2461,Mahamandleshwar Shri Krishnanandji College of Commerce,Bharuch,Gujarat,nan,nan
2462,"Mahamaya Government Degree College, Sherkot",Bijnor,Uttar Pradesh,nan,nan
2463,Maharaj Vijayaram Gajapathi Raj College of Engineering,Vizianagaram,Andhra Pradesh,nan,nan
2464,Maharaja Agrasen College,Delhi,Delhi,nan,nan
2465,Maharaja Agrasen Institute,Delhi,Delhi,224,nan
2466,Maharaja Agrasen Institute of Technology,Delhi,Delhi,nan,nan
2467,Maharaja Bir Bikram College,Agartala,Tripura,nan,nan
2468,Maharaja Ganga Singh Dental College & Research Centre,Sri Ganganagar,Rajasthan,nan,nan
2469,"Maharaja Institute of Technology, Mysore",Mandya,Karnataka,nan,nan
2470,Maharaja Ranjit Singh State Technical University,Bathinda,Punjab,nan,nan
2471,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,149,nan
2472,Maharaja Surajmal Institute,West,Delhi,nan,nan
2473,Maharaja Surajmal Institute of Technology,New Delhi,Delhi,nan,nan
2474,"Maharaja`s College, Ernakulam",Ernakulam,Kerala,nan,nan
2475,Maharani Lakshmi Ammani Womens College,Bangalore,Karnataka,nan,nan
2476,"Maharani Laxmibai Arts and Commerce College, Gwalior",Gwalior,Madhya Pradesh,nan,nan
2477,Maharani's Science College for Women,Mysore,Karnataka,nan,nan
2478,Maharani's Women's Commerce and Management College,Mysore,Karnataka,nan,nan
2479,"Maharashtra Education Society`s Abasaheb Garware College of Arts and Science, Pune",Pune,Maharashtra,nan,nan
2480,"Maharashtra Education Society`s Garware College of Commerce, Karve Road, Pune",Pune,Maharashtra,nan,nan
2481,"Maharashtra National Law University, Nagpur",Nagpur,Maharashtra,nan,nan
2482,"Maharashtra Udaygiri Mahavdiyalaya, Udgir",Udgir,Maharashtra,nan,nan
2483,Maharishi Markandeshwar,Ambala,Haryana,nan,91
2484,Maharishi Markandeshwar,nan,nan,32,nan
2485,Maharshi College of Natural Law,Bhubaneswar,Odisha,nan,nan
2486,Maharshi Dayanand College of Arts Science & Commerce,Mumbai City,Maharashtra,nan,nan
2487,Maharshi Dayanand University,Rohtak,Haryana,nan,94
2488,"Maharshi Dayanand University, Rohtak",Rohtak,Haryana,nan,nan
2489,Maharshi Karve Stree Shikshan Samstha's Cummins College of Enginee,Pune,Maharashtra,225,nan
2490,Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,Pune,Maharashtra,nan,nan
2491,Maharshi Karve Stree Shikshan Samstha's School of Fashion Technology,Pune,Maharashtra,nan,nan
2492,"Mahatama Gandhi Vidyamandir Sansthas Arts Mahavidyalaya, Dist.Nashik",Nashik,Maharashtra,nan,nan
2493,"Mahatama Gandhi Vidyamandirs Arts,Science & Commerce College, Manmad, Nashik",Nandgaon,Maharashtra,nan,nan
2494,"Mahatama Gandhi Vidyamandirs Loknete Vyankatrao Hiray Mahavidyalaya Arts,Science & Commerce, Dist.Nashik",Nashik,Maharashtra,nan,nan
2495,Mahatma Education Society's Pillai's College of Architecture,New Panvel,Maharashtra,nan,nan
2496,"Mahatma Education Society's, Pillai HOC College of Engineering and technology",Raigarh,Maharashtra,nan,nan
2497,Mahatma Education Societys Night College of Arts & Commerce Chembur Naka Chembur Mumbai,Mumbaimumbai,Maharashtra,nan,nan
2498,"Mahatma Education Societys Pillai HOC College of Arts, Science and Commerce",Rasayani,Maharashtra,nan,nan
2499,Mahatma Education Societys Pillais College of Arts Commerce & Science Dr. K.M.Vasudevan Pillas Campus,New Panvel,Maharashtra,nan,nan
2500,"Mahatma Gandhi Arts, Science & Late Nasaruddhinbhai Panjwani Commerce College",Armori,Maharashtra,nan,nan
2501,Mahatma Gandhi Government Arts College,Mahe,Pondicherry,nan,nan
2502,Mahatma Gandhi Institute,Hyderabad,Telangana,280,nan
2503,"Mahatma Gandhi Institute of Medical Sciences, Wardha",Wardha,Maharashtra,nan,nan
2504,Mahatma Gandhi Institute of Technology,Hyderabad,Telangana,nan,nan
2505,Mahatma Gandhi Medical College and Research Institute,nan,nan,47,nan
2506,"Mahatma Gandhi Memorial College, Udupi",Udupi,Karnataka,nan,nan
2507,"Mahatma Gandhi Mission's Medical College,Navi Mumbai",Raigarh,Maharashtra,nan,nan
2508,Mahatma Gandhi Mission`s Jawaharlal Nehru Engineering College,Aurangabad,Maharashtra,nan,nan
2509,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,nan,30
2510,Mahatma Gandhi Vidyamandir?s Arts & Commerce College,Dist. Nashik,Maharashtra,nan,nan
2511,"Mahatma Phule Arts, Science and Commerce College",Raigarh,Maharashtra,nan,nan
2512,Mahaveer Institute of Science &Technology,Hyderabad,Telangana,nan,nan
2513,"Mahayogi Guru Gorakhnath Government Degree College,Bithyani (Yamkeshwar)",Kotdwar,Uttarakhand,nan,nan
2514,Mahe Institute of Dental Sciences & Hospital,Mahe,Pondicherry,nan,nan
2515,Mahendra Arts & Science College,Namakkal,Tamil Nadu,nan,nan
2516,Mahendra College of Engineering,Salem,Tamil Nadu,nan,nan
2517,Mahendra Engineering College,Namakkal,Tamil Nadu,nan,nan
2518,Mahendra Institute of Technology,Namakkal,Tamil Nadu,nan,nan
2519,Maheshtala College,Kolkata,West Bengal,nan,nan
2520,"Mahila College, Chaibasa",Chaibasa,Jharkhand,nan,nan
2521,"Mahila College, Godda",Godda,Jharkhand,nan,nan
2522,"Mahila Mahavidyalaya, Jog Chowk, Amravati",Amravati,Maharashtra,nan,nan
2523,"Mahila Mahavidyalaya, Mangalwar Peth, Karad",Karad,Maharashtra,nan,nan
