,name,city,state,nirfRank,rank
1206,"Government College, Narshingarh, Rajgarh",Narsinghgarh,Madhya Pradesh,nan,nan
1207,"Government College, Nattakom, Kottayam",Kottayam,Kerala,nan,nan
1208,"Government College, Nedumangad",Thiruvananthapuram,Kerala,nan,nan
1209,"Government College, Panchkula",Panchkula,Haryana,nan,nan
1210,"Government College, Phoop",Phoop,Madhya Pradesh,nan,nan
1211,"Government College, Shamshabad, Vidisha",Shamshabad,Madhya Pradesh,nan,nan
1212,"Government College,Rourkela",Sundargarh,Odisha,nan,nan
1213,Government D. B. P.G. Girls College kalibadi Chowk,Raipur,Chhattisgarh,nan,nan
1214,Government D. S. V. Sanskrit College,Raipur,Chhattisgarh,nan,nan
1215,Government Degree College,Veeraghattam,Andhra Pradesh,nan,nan
1216,Government Degree College,Tekkali,Andhra Pradesh,nan,nan
1217,Government Degree College,Chintalapudi,Andhra Pradesh,nan,nan
1218,Government Degree College,Uravakonda,Andhra Pradesh,nan,nan
1219,Government Degree College,Husnabad,Telangana,nan,nan
1220,Government Degree College,Punch,Jammu and Kashmir,nan,nan
1221,Government Degree College,Medchal,Telangana,nan,nan
1222,Government Degree College,Korutla,Telangana,nan,nan
1223,Government Degree College,Warangal (Rural),Telangana,nan,nan
1224,Government Degree College,Warangal,Telangana,nan,nan
1225,Government Degree College,"Huzurnagar, Suryapet District",Telangana,nan,nan
1226,Government Degree College,Seethamapeta,Andhra Pradesh,nan,nan
1227,Government Degree College,Srikakulam,Andhra Pradesh,nan,nan
1228,Government Degree College,Razole,Andhra Pradesh,nan,nan
1229,Government Degree College,Rajampeta,Andhra Pradesh,nan,nan
1230,Government Degree College,Nagari,Andhra Pradesh,nan,nan
1231,Government Degree College,Mandapeta,Andhra Pradesh,nan,nan
1232,Government Degree College,Karvetinagaram,Andhra Pradesh,nan,nan
1233,Government Degree College,Mendhar,Jammu and Kashmir,nan,nan
1234,Government Degree College,Chodavaram,Andhra Pradesh,nan,nan
1235,Government Degree College,Alur,Andhra Pradesh,nan,nan
1236,Government Degree College,Porumamilla,Andhra Pradesh,nan,nan
1237,Government Degree College,Ramachandrapuran,Andhra Pradesh,nan,nan
1238,Government Degree College,Anantnag,Jammu and Kashmir,nan,nan
1239,Government Degree College,Samba,Jammu and Kashmir,nan,nan
1240,Government Degree College,Akhnoor,Jammu and Kashmir,nan,nan
1241,Government Degree College,Reasi,Jammu and Kashmir,nan,nan
1242,Government Degree College,Kishtwar,Jammu and Kashmir,nan,nan
1243,Government Degree College,Yerraguntla,Andhra Pradesh,nan,nan
1244,Government Degree College,Kathua,Jammu and Kashmir,nan,nan
1245,Government Degree College,Yeleswaram,Andhra Pradesh,nan,nan
1246,Government Degree College (Autonomous),Siddipet,Telangana,nan,nan
1247,Government Degree College (Patancheru),Patancheru,Telangana,nan,nan
1248,Government Degree College (Sadasivpet),Sadasivpet,Telangana,nan,nan
1249,Government Degree College (Zaheerabad),Zaheerabad,Telangana,nan,nan
1250,"Government Degree College , Atmakur",Mahbubnagar,Telangana,nan,nan
1251,Government Degree College Agraharam,Vemulawada,Telangana,nan,nan
1252,"Government Degree College Chachora, Beenagang",CHACHODA ROAD BINAGANJ,Madhya Pradesh,nan,nan
1253,Government Degree College Lamgara,Lamgara,Uttarakhand,nan,nan
1254,Government Degree College Masi,ALMORA,Uttarakhand,nan,nan
1255,Government Degree College Narasanna Peta,Srikakulam,Andhra Pradesh,nan,nan
1256,Government Degree College Pakala -Rural Co-Ed.,Chittoor,Andhra Pradesh,nan,nan
1257,Government Degree College Porsa,MORENA,Madhya Pradesh,nan,nan
1258,"Government Degree College Pulwama, Kashmir",Pulwama,Jammu and Kashmir,nan,nan
1259,Government Degree College Radhogarh,Raghogarh,Madhya Pradesh,nan,nan
1260,Government Degree College Ravulapalem,Ravulapalem,Andhra Pradesh,nan,nan
1261,Government Degree College Sathyavedu Rural Co-Ed.,Satyavedu,Andhra Pradesh,nan,nan
1262,Government Degree College Srisailam Project,Kurnool,Andhra Pradesh,nan,nan
1263,Government Degree College Surankote,Surankote,Jammu and Kashmir,nan,nan
1264,Government Degree College Thannamandi,Rajouri,Jammu and Kashmir,nan,nan
1265,Government Degree College for Men,Srikakulam,Andhra Pradesh,nan,nan
1266,Government Degree College for Men,Adilabad,Telangana,nan,nan
1267,"Government Degree College for Men (Autonomous), Anantapur",Anantapur,Andhra Pradesh,nan,nan
1268,Government Degree College for Women,Wanaparthy,Telangana,nan,nan
1269,Government Degree College for Women,Nalgonda,Telangana,nan,nan
1270,Government Degree College for Women (Begumpet),Hyderabad,Telangana,nan,nan
