,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
168,148,Ananad Institute of Higher Technology,Chennai,Tamil Nadu,,,,
169,1978,"Anand Charitable Trust`s Anandrao Alias Babaji Dhonde Arts, Commerce & Science College",Beed,Maharashtra,,,,
170,149,Anand Engineering College,Agra,Uttar Pradesh,,,,
171,150,Anand International College of Engineering,Jaipur,Rajasthan,,,,
172,1979,"Anand Niketan Arts Commerce Science College, Varora",Chandrapur,Maharashtra,,,,
173,151,Anantrao Pawar College of Engineering & Research,Pune,Maharashtra,,,,
174,1980,Andhra Loyola College,Vijayawada,Andhra Pradesh,,,,
175,152,Andhra Loyola Institute of Engineering and Technology,Vijayawada,Andhra Pradesh,,,,
176,1981,Andhra Muslim College,Guntur,Andhra Pradesh,,,,
177,4592,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,,,,71.0
178,1395,"Anekant Education Societys Anekant Institute of Management Studies, Pune",Baramati,Maharashtra,,,,
179,1396,Angadi Instittute of Technology and Management,Belagavi,Karnataka,,,,
180,1982,Angappa College of Arts and Science,Coimbatore -,Tamil Nadu,,,,
181,4945,Anil Neerukonda Institute of Technol,Visakhapatnam,Andhra Pradesh,,,,254.0
182,154,Anil Neerukonda Institute of Technology & Sciences,Visakhapatnam,Andhra Pradesh,,,,
183,1983,Anjuman Arts & Commerce College Dharwad,DHARWAD,Karnataka,,,,
184,155,Anjuman College of Engineering & Technology,Nagpur,Maharashtra,,,,
185,1984,"Anjuman Ishat e Taleem Beed`s Milliya Arts, Science and Management Science College, Beed",Beed,Maharashtra,,,,
186,1985,"Anjuman Khairul Islams Poona College of Arts, Science & Commerce",Pune,Maharashtra,,,,
187,156,Anjuman-I-Islam`s Kalsekar Technical Campus,New Panvel,Maharashtra,,,,
188,1986,Anna Adarsh College for Women,Chennai,Tamil Nadu,,,,
189,5193,Anna University,Chennai,Tamil Nadu,,,,21.0
190,4503,Anna University ,Chennai,Tamil Nadu,,,,
191,1988,Annai Theresa Arts and Science College,Thirukazhukundram,Tamil Nadu,,,,
192,1989,"Annai Vailankanni College of Arts and Science, Thanjavur",Thanjavur,Tamil Nadu,,,,
193,158,Annai Vailankanni College of Engineering,Nagercoil,Tamil Nadu,,,,
194,1990,Annai Veilankanni's College for Women,Chennai,Tamil Nadu,,,,
195,1398,Annai Velankanni College,Tholayavattam,Tamil Nadu,,,,
196,1992,Annai Violet Arts and Science College,Chennai,Tamil Nadu,,,,
197,1993,"Annai Women`s College, Karur",Karur,Tamil Nadu,,,,
198,4892,Annama,Annamalainagar,Tamil Nadu,,,,201.0
199,160,Annamacharya Institute of Technology & Sciences,Tirupati,Andhra Pradesh,,,,
200,161,Annamacharya Institute of Technology and Sciences,Kadapa,Andhra Pradesh,,,,
201,1400,Annamacharya PG College of Computer Studies,Rajampet,Andhra Pradesh,,,,
202,1769,Annamalai University,Annamalainagar,Tamil Nadu,,,,
203,163,Annapoorana Engineering College,Salem,Tamil Nadu,,,,
204,4190,Annasaheb Chudaman Patil Memorial Dental College,Dhule,Maharashtra,,,,
205,164,"Annasaheb Dange College of Engineering and Technology, Ashta",Ashta,Maharashtra,,,,
206,1994,"Annasaheb Gundawar College, Katol Road",Nagpur-,Maharashtra,,,,
207,1995,Annavaram Satyavati Devi Government College for Women,Kakinada,Andhra Pradesh,,,,
208,4191,"Annoor Dental College, Muvattupuzha",Muvattupuzha,Kerala,,,,
209,1401,Anurag Engineering College,Ananthagiri (V&M),Telangana,,,,
210,166,Anurag University,Hyderabad,Telangana,,,,
211,1996,"Anvarul Islam Women?s Arabic College, Mongam",Malappuram,Kerala,,,,
