,name,city,state,nirf_rank,ranked,rank,nirfRank
2360,"Gayatri Degree College, Kota road",Vizianagaram,Andhra Pradesh,,nan,nan,nan
2361,Gayatri Mahila Degree College,Parvatipuram,Andhra Pradesh,,nan,nan,nan
2362,Gayatri Vidya Parishad College for Degree and P.G Courses (Autonomous),Visakhapatnam,Andhra Pradesh,,nan,nan,nan
2363,"General Shivdev Singh Diwan Gurbachan Singh Khalsa College, Patiala",Patiala,Punjab,,nan,nan,nan
2364,"Ghatshila College, Ghatshila",GHATSILA,Jharkhand,,nan,nan,nan
2365,Girdari Lal Dogra Memorial Degree College,Hiranagar,Jammu and Kashmir,,nan,nan,nan
2366,Girraj Government College,Nizamabad,Telangana,,nan,nan,nan
2367,Gitai Institute of Management,Aurangabad,Maharashtra,,nan,nan,nan
2368,Goa College of Home Science Campal Panaji,Panaji,Goa,,nan,nan,nan
2369,Goa College of Music Altinho Panaji,Panaji,Goa,,nan,nan,nan
2370,Goa Vidyaprasarak Mandals Gopal Govind Poy Raiturcar College of Commerce and Economics,North Goa,Goa,,nan,nan,nan
2371,Goalpara College,Goalpara,Assam,,nan,nan,nan
2372,Gobi Arts & Science College,Erode,Tamil Nadu,,nan,nan,nan
2373,Godutai Dodappa Appa Arts & Commerce College for Women,Gulbarga,Karnataka,,nan,nan,nan
2374,Gokhale Education Societys Shri Bhausaheb Vartak Arts Science and Commerce College,Mumbai-,Maharashtra,,nan,nan,nan
2375,Gonzaga College of Arts & Science for women,Krishnagiri,Tamil Nadu,,nan,nan,nan
2376,"Gopikabai Sitaram Gawande College, Umarkhed",Umarkhed,Maharashtra,,nan,nan,nan
2377,"Gopinath Singh Mahila College,Garhwa",Garhwa,Jharkhand,,nan,nan,nan
2378,Goswami Ganesh Dutta S.D. College,Chandigarh,Chandigarh,,nan,nan,nan
2379,"Government College, Hisar",HISAR,Haryana,,nan,nan,nan
2380,"Government College, Nalwa",Hisar,Haryana,,nan,nan,nan
2381,Government Arts & Commerce College Jadar,Sabar Kantha,Gujarat,,nan,nan,nan
2382,"Government Arts & Science College, Armoor (5010)",Nizamabad,Telangana,,nan,nan,nan
2383,"Government Arts & Science College, Kozhinjampara",Palakkad,Kerala,,nan,nan,nan
2384,Government Arts and Commerce College,Jafrabad,Gujarat,,nan,nan,nan
2385,Government Arts And Commerce College,Sabarkantha,Gujarat,,nan,nan,nan
2386,"Government Arts and Science College for Women , Barugur",Barugur,Tamil Nadu,,nan,nan,nan
2387,"Government Arts and Science College, Hosur",Krishnagiri,Tamil Nadu,,nan,nan,nan
2388,"Government Arts and Science College, Kangeyam",Tiruppur,Tamil Nadu,,nan,nan,nan
2389,"Government Arts and Science College, Komarapalayam",Namakkal,Tamil Nadu,,nan,nan,nan
2390,"Government Arts and Science College, Kovilpatti",kovilpatti,Tamil Nadu,,nan,nan,nan
2391,Government Arts College,The Nilgiris,Tamil Nadu,,nan,nan,nan
2392,Government Arts College,MADURAI,Tamil Nadu,,nan,nan,nan
2393,Government Arts College,Dharmapuri,Tamil Nadu,,nan,nan,nan
2394,Government Arts College,Salem,Tamil Nadu,,nan,nan,nan
2395,Government Arts College,Coimbatore,Tamil Nadu,,nan,nan,nan
2396,Government Arts College,Tiruchirappalli,Tamil Nadu,,nan,nan,nan
2397,Government Arts College,Cuddalore,Tamil Nadu,,nan,nan,nan
2398,Government Arts College,Karur,Tamil Nadu,,nan,nan,nan
2399,Government Arts College,Ranavav,Gujarat,,nan,nan,nan
2400,Government Arts College for Men,Krishnagiri,Tamil Nadu,,nan,nan,nan
2401,Government Arts College for Women,Salem,Tamil Nadu,,nan,nan,nan
2402,Government Arts College for Women,Pudukkottai,Tamil Nadu,,nan,nan,nan
2403,"Government Arts College for Women, Sivaganga",Sivagangai,Tamil Nadu,,nan,nan,nan
2404,Government Arts College Thiruvannamalai,Thiruvannamalai,Tamil Nadu,,nan,nan,nan
2405,"Government Arts College, Ariyalur",Ariyalur,Tamil Nadu,,nan,nan,nan
2406,"Government Arts College, Chitradurga",Chitradurga,Karnataka,,nan,nan,nan
2407,"Government Arts College, Hassan",Hassan,Karnataka,,nan,nan,nan
2408,"Government Arts College, Karur",Karur,Tamil Nadu,,nan,nan,nan
2409,"Government Arts College, Kumbakonam",Kumbakonam,Tamil Nadu,,nan,nan,nan
2410,"Government Arts College, Maninagar",Ahmedabad,Gujarat,,nan,nan,nan
2411,"Government Arts College, Thiruvananthapuram",Thiruvananthapuram,Kerala,,nan,nan,nan
2412,"Government Arts College, Tiruppur",Udumalpet,Tamil Nadu,,nan,nan,nan
2413,"Government Arts Commerce College, Keolari, Seoni",keolari,Madhya Pradesh,,nan,nan,nan
2414,"Government Autonmous Science College, Civil Lines, Jabalpur",Jabalpur,Madhya Pradesh,,nan,nan,nan
2415,"Government Autonomous M.K.B. Arts & Commerce College for Women, Jabalpur",Jabalpur,Madhya Pradesh,,nan,nan,nan
2416,Government Brennen College,Kannur,Kerala,,nan,nan,nan
2417,Government Chatrsal College Pichore,PICHHORE,Madhya Pradesh,,nan,nan,nan
2418,Government City College,Hyderabad,Telangana,,nan,nan,nan
2419,Government College,DURG,Chhattisgarh,,nan,nan,nan
2420,Government College,Rajahmundry,Andhra Pradesh,,nan,nan,nan
2421,Government College,District Cuddpah,Andhra Pradesh,,nan,nan,nan
2422,Government College Alampur,alampur,Madhya Pradesh,,nan,nan,nan
2423,Government College Aroon,Aron,Madhya Pradesh,,nan,nan,nan
2424,Government College Baldwara (Mandi),Baldwara,Himachal Pradesh,,nan,nan,nan
2425,Government College for Men,Kurnool,Andhra Pradesh,,nan,nan,nan
2426,"Government College for Men, Kadapa",Kadapa,Andhra Pradesh,,nan,nan,nan
2427,Government College for Women,"Gandhi Nagar, Dist. Jammu",Jammu and Kashmir,,nan,nan,nan
2428,Government College for Women (Autonomous),Srikakulam,Andhra Pradesh,,nan,nan,nan
2429,Government College for Women Nawakadal,"Nawakadal, Dist. Srinagar",Jammu and Kashmir,,nan,nan,nan
2430,"Government College for Women, Kumbakonam",KUMBAKONAM - 612 001,Tamil Nadu,,nan,nan,nan
2431,"Government College for Women, Parade Ground , Jammu",Jammu & Kashmir,Jammu and Kashmir,,nan,nan,nan
2432,"Government College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,,nan,nan,nan
2433,"Government College for Women, Udhampur",Udhampur,Jammu and Kashmir,,nan,nan,nan
2434,Government College Hamirpur,Hamirpur,Himachal Pradesh,,nan,nan,nan
2435,Government College Karera,Karera,Madhya Pradesh,,nan,nan,nan
2436,"Government College Kasaragod, Vidya Nagar",Kasaragod,Kerala,,nan,nan,nan
2437,Government College Kolaras,kolaras,Madhya Pradesh,,nan,nan,nan
2438,Government College Mahgoan,Bhind,Madhya Pradesh,,nan,nan,nan
2439,Government College Muganwali,MUNGAOLI,Madhya Pradesh,,nan,nan,nan
2440,Government College of Arts & Commerce Virnoda Pernem,Pernem,Goa,,nan,nan,nan
2441,Government College of Arts & Science,Aurangabad,Maharashtra,,nan,nan,nan
2442,Government College of Arts Science & Commerce Sanquelim,Sankhali,Goa,,nan,nan,nan
2443,"Government College of Arts Science & Commerce, Khandola",Marcela,Goa,,nan,nan,nan
2444,"Government College of Arts Science & Commerce, Quepem",South Goa,Goa,,nan,nan,nan
2445,"Government College of Commerce and Economics, Borda",Margao,Goa,,nan,nan,nan
2446,Government College Ropar,Rupnagar,Punjab,,nan,nan,nan
2447,Government College Vijaypur,Sheopur,Madhya Pradesh,,nan,nan,nan
2448,"Government College, Panchkula",Panchkula,Haryana,,nan,nan,nan
2449,"Government College, Attingal",Thiruvananthapuram,Kerala,,nan,nan,nan
2450,"Government College, Barwala",Barwala,Haryana,,nan,nan,nan
2451,"Government College, Ellenabad",Sirsa,Haryana,,nan,nan,nan
2452,"Government College, Gharaunda",Gharaunda,Haryana,,nan,nan,nan
2453,"Government College, Indergarh, Datia",M.P,Madhya Pradesh,,nan,nan,nan
2454,"Government College, Ishagarh",ISHAGARH,Madhya Pradesh,,nan,nan,nan
2455,"Government College, Jind",Jind,Haryana,,nan,nan,nan
2456,"Government College, Kalka",Panchkula,Haryana,,nan,nan,nan
2457,"Government College, Kurwai, Vidisha",KURWAI,Madhya Pradesh,,nan,nan,nan
2458,"Government College, Lateri",Lateri,Madhya Pradesh,,nan,nan,nan
2459,"Government College, Mandi Dabwali",Dabwali,Haryana,,nan,nan,nan
2460,"Government College, Narnaul",Narnaul,Haryana,,nan,nan,nan
2461,"Government College, Narshingarh, Rajgarh",Narsinghgarh,Madhya Pradesh,,nan,nan,nan
2462,"Government College, Nattakom, Kottayam",Kottayam,Kerala,,nan,nan,nan
2463,"Government College, Nedumangad",Thiruvananthapuram,Kerala,,nan,nan,nan
2464,"Government College, Phoop",Phoop,Madhya Pradesh,,nan,nan,nan
2465,"Government College, Shamshabad, Vidisha",Shamshabad,Madhya Pradesh,,nan,nan,nan
2466,"Government College,Rourkela",Sundargarh,Odisha,,nan,nan,nan
2467,Government D. B. P.G. Girls College kalibadi Chowk,Raipur,Chhattisgarh,,nan,nan,nan
2468,Government D. S. V. Sanskrit College,Raipur,Chhattisgarh,,nan,nan,nan
2469,Government Degree College,Mendhar,Jammu and Kashmir,,nan,nan,nan
2470,Government Degree College,Anantnag,Jammu and Kashmir,,nan,nan,nan
2471,Government Degree College,Punch,Jammu and Kashmir,,nan,nan,nan
2472,Government Degree College,Kishtwar,Jammu and Kashmir,,nan,nan,nan
2473,Government Degree College,Reasi,Jammu and Kashmir,,nan,nan,nan
2474,Government Degree College,Anantnag,Jammu and Kashmir,,nan,nan,nan
2475,Government Degree College,Akhnoor,Jammu and Kashmir,,nan,nan,nan
2476,Government Degree College,Samba,Jammu and Kashmir,,nan,nan,nan
2477,Government Degree College,Kathua,Jammu and Kashmir,,nan,nan,nan
2478,Government Degree College,Anantnag,Jammu and Kashmir,,nan,nan,nan
2479,Government Degree College,Ramachandrapuran,Andhra Pradesh,,nan,nan,nan
2480,Government Degree College,Porumamilla,Andhra Pradesh,,nan,nan,nan
2481,Government Degree College,Alur,Andhra Pradesh,,nan,nan,nan
2482,Government Degree College,Chodavaram,Andhra Pradesh,,nan,nan,nan
2483,Government Degree College,Razole,Andhra Pradesh,,nan,nan,nan
2484,Government Degree College,Karvetinagaram,Andhra Pradesh,,nan,nan,nan
2485,Government Degree College,Mandapeta,Andhra Pradesh,,nan,nan,nan
2486,Government Degree College,Nagari,Andhra Pradesh,,nan,nan,nan
2487,Government Degree College,Rajampeta,Andhra Pradesh,,nan,nan,nan
2488,Government Degree College,Yerraguntla,Andhra Pradesh,,nan,nan,nan
2489,Government Degree College,Srikakulam,Andhra Pradesh,,nan,nan,nan
2490,Government Degree College,Seethamapeta,Andhra Pradesh,,nan,nan,nan
2491,Government Degree College,Uravakonda,Andhra Pradesh,,nan,nan,nan
2492,Government Degree College,Chintalapudi,Andhra Pradesh,,nan,nan,nan
2493,Government Degree College,Yeleswaram,Andhra Pradesh,,nan,nan,nan
2494,Government Degree College,Tekkali,Andhra Pradesh,,nan,nan,nan
2495,Government Degree College,Veeraghattam,Andhra Pradesh,,nan,nan,nan
2496,Government Degree College,Husnabad,Telangana,,nan,nan,nan
2497,Government Degree College,Medchal,Telangana,,nan,nan,nan
2498,Government Degree College,Korutla,Telangana,,nan,nan,nan
2499,Government Degree College,Warangal (Rural),Telangana,,nan,nan,nan
2500,Government Degree College,Warangal,Telangana,,nan,nan,nan
2501,Government Degree College,"Huzurnagar, Suryapet District",Telangana,,nan,nan,nan
2502,Government Degree College (Autonomous),Siddipet,Telangana,,nan,nan,nan
2503,Government Degree College (Patancheru),Patancheru,Telangana,,nan,nan,nan
2504,Government Degree College (Sadasivpet),Sadasivpet,Telangana,,nan,nan,nan
2505,Government Degree College (Zaheerabad),Zaheerabad,Telangana,,nan,nan,nan
2506,"Government Degree College , Atmakur",Mahbubnagar,Telangana,,nan,nan,nan
2507,Government Degree College Agraharam,Vemulawada,Telangana,,nan,nan,nan
2508,"Government Degree College Chachora, Beenagang",CHACHODA ROAD BINAGANJ,Madhya Pradesh,,nan,nan,nan
2509,Government Degree College for Men,Srikakulam,Andhra Pradesh,,nan,nan,nan
2510,Government Degree College for Men,Adilabad,Telangana,,nan,nan,nan
2511,"Government Degree College for Men (Autonomous), Anantapur",Anantapur,Andhra Pradesh,,nan,nan,nan
2512,Government Degree College for Women,Wanaparthy,Telangana,,nan,nan,nan
2513,Government Degree College for Women,Nalgonda,Telangana,,nan,nan,nan
2514,Government Degree College for Women (Begumpet),Hyderabad,Telangana,,nan,nan,nan
2515,Government Degree College for Women (Hussainialam),Hyderabad,Telangana,,nan,nan,nan
2516,Government Degree College for Women (Sangareddy),Sangareddy,Telangana,,nan,nan,nan
2517,Government Degree College for Women (Siddipet),Siddipet,Telangana,,nan,nan,nan
2518,Government Degree College for women Sri kalahasthi Urban,Chittoor,Andhra Pradesh,,nan,nan,nan
2519,"Government Degree College for Women, Adilabad",Adilabad,Telangana,,nan,nan,nan
2520,"Government Degree College for Women, Guntur",Guntur,Andhra Pradesh,,nan,nan,nan
2521,"Government Degree College for Women, Jagtial",Jagtial,Telangana,,nan,nan,nan
2522,"Government Degree College for Women, Karimnagar",Karimnagar,Telangana,,nan,nan,nan
2523,"Government Degree College for Women, Madanapalle Urban",Madanapalle,Andhra Pradesh,,nan,nan,nan
2524,Government Degree College Lamgara,Lamgara,Uttarakhand,,nan,nan,nan
2525,Government Degree College Masi,ALMORA,Uttarakhand,,nan,nan,nan
2526,Government Degree College Narasanna Peta,Srikakulam,Andhra Pradesh,,nan,nan,nan
2527,Government Degree College Pakala -Rural Co-Ed.,Chittoor,Andhra Pradesh,,nan,nan,nan
2528,Government Degree College Porsa,MORENA,Madhya Pradesh,,nan,nan,nan
2529,"Government Degree College Pulwama, Kashmir",Pulwama,Jammu and Kashmir,,nan,nan,nan
2530,Government Degree College Radhogarh,Raghogarh,Madhya Pradesh,,nan,nan,nan
2531,Government Degree College Ravulapalem,Ravulapalem,Andhra Pradesh,,nan,nan,nan
2532,Government Degree College Sathyavedu Rural Co-Ed.,Satyavedu,Andhra Pradesh,,nan,nan,nan
2533,Government Degree College Srisailam Project,Kurnool,Andhra Pradesh,,nan,nan,nan
2534,Government Degree College Surankote,Surankote,Jammu and Kashmir,,nan,nan,nan
2535,"Swatantrata Sangram Senani Swargiya Sri Pan Singh Bisht Rajkiya Mahavidyalaya Talla Salt, Almora",Newalgaon,Uttarakhand,,nan,nan,nan
2536,Government Degree College Thannamandi,Rajouri,Jammu and Kashmir,,nan,nan,nan
2537,"Government Degree College, Alir",Yadadri Bhuvanagiri,Telangana,,nan,nan,nan
2538,"Government Degree College, Amarpur",Amarpur,Tripura,,nan,nan,nan
2539,"Government Degree College, Amarwara",Amarwara,Madhya Pradesh,,nan,nan,nan
2540,"Government Degree College, Avangadda",Avanigadda,Andhra Pradesh,,nan,nan,nan
2541,"Government Degree College, Banbasa",Champawat,Uttarakhand,,nan,nan,nan
2542,"Government Degree College, Banganapalli",Banaganapalle,Andhra Pradesh,,nan,nan,nan
2543,"Government Degree College, Bantumilli",Bantumilli,Andhra Pradesh,,nan,nan,nan
2544,"Government Degree College, Bellampally",Bellampally,Telangana,,nan,nan,nan
2545,"Government Degree College, Bhua Bichhiya, Mandla",BHUABICHHIYA,Madhya Pradesh,,nan,nan,nan
2546,"Government Degree College, Bhupalpally",Bhoopalpalli,Telangana,,nan,nan,nan
2547,"Government Degree College, Bichhua",Chhindwara,Madhya Pradesh,,nan,nan,nan
2548,"Government Degree College, Bodhan (5007)",Bodhan,Telangana,,nan,nan,nan
2549,"Government Degree College, Chebrole",Chebrole,Andhra Pradesh,,nan,nan,nan
2550,"Government Degree College, Cheepurupalli",Vizianagaram,Andhra Pradesh,,nan,nan,nan
2551,"Government Degree College, Chintapalli",Visakhapatnam,Andhra Pradesh,,nan,nan,nan
2552,"Government Degree College, Chinyalisaur",chinyalisaur,Uttarakhand,,nan,nan,nan
2553,"Government Degree College, Cumbum",Cumbum,Andhra Pradesh,,nan,nan,nan
2554,"Government Degree College, Devidhura",Champawat,Uttarakhand,,nan,nan,nan
2555,"Government Degree College, Dharmanagar",Dharmanagar,Tripura,,nan,nan,nan
2556,"Government Degree College, Dharpally",Nizamabad,Telangana,,nan,nan,nan
2557,"Government Degree College, Eluru",Eluru,Andhra Pradesh,,nan,nan,nan
2558,"Government Degree College, Eturu Nagaram",Warangal (Rural),Telangana,,nan,nan,nan
2559,"Government Degree College, Ganai Gangoli",Pithoragarh,Uttarakhand,,nan,nan,nan
2560,"Government Degree College, Garla",Mahabubabad,Telangana,,nan,nan,nan
2561,"Government Degree College, Godhavarikhani",Karimnagar,Telangana,,nan,nan,nan
2562,"Government Degree College, Jaggampeta",Jaggampeta,Andhra Pradesh,,nan,nan,nan
2563,"Government Degree College, Jammalamadugu",Jammalamadugu,Andhra Pradesh,,nan,nan,nan
2564,"Government Degree College, Kamalpur",Kamalpur,Tripura,,nan,nan,nan
2565,"Government Degree College, Kanchanpur",Kanchanpur,Tripura,,nan,nan,nan
2566,"Government Degree College, kanda",Kanda,Uttarakhand,,nan,nan,nan
2567,"Government Degree College, Khumlwng",Khumulwng,Tripura,,nan,nan,nan
2568,"Government Degree College, Kommavarapukota",Kamavarapukota,Andhra Pradesh,,nan,nan,nan
2569,"Government Degree College, Kotabag",Tahsil - Kaladungi,Uttarakhand,,nan,nan,nan
2570,"Government Degree College, Kuppam Rural Co-Ed.",Chittoor,Andhra Pradesh,,nan,nan,nan
2571,"Government Degree College, Laksar, Haridwar","Laksar, Haridwar",Uttarakhand,,nan,nan,nan
2572,"Government Degree College, Lambgaon",Tehri Garhwal,Uttarakhand,,nan,nan,nan
2573,"Government Degree College, Longtarai Valley",Chailengta,Tripura,,nan,nan,nan
2574,"Government Degree College, Luxettipet",Luxettipet,Telangana,,nan,nan,nan
2575,"Government Degree College, Madhira",Madhira,Telangana,,nan,nan,nan
2576,"Government Degree College, Mahanpur",Kathua,Jammu and Kashmir,,nan,nan,nan
2577,"Government Degree College, Majra Mahadev",MAJRA MAHADEV,Uttarakhand,,nan,nan,nan
2578,"Government Degree College, Malkajgiri",Hyderabad,Telangana,,nan,nan,nan
2579,"Government Degree College, Mancherial",Adilabad,Telangana,,nan,nan,nan
2580,"Government Degree College, Manglore",MANGLORE,Uttarakhand,,nan,nan,nan
2581,"Government Degree College, Manthani",Manthani,Telangana,,nan,nan,nan
2582,"Government Degree College, Margubpur (Roorkee)",Roorkee (Haridwar),Uttarakhand,,nan,nan,nan
2583,"Government Degree College, Naidupeta",Sri Potti Sriramulu Nellore,Andhra Pradesh,,nan,nan,nan
2584,"Government Degree College, Nandikotkur",Kurnool,Andhra Pradesh,,nan,nan,nan
2585,"Government Degree College, Nowshera",Nowshera,Jammu and Kashmir,,nan,nan,nan
2586,"Government Degree College, Paloncha",Khammam,Telangana,,nan,nan,nan
2587,"Government Degree College, Pathapatnam",Srikakulam,Andhra Pradesh,,nan,nan,nan
2588,"Government Degree College, Peddapalli",Peddapalli,Telangana,,nan,nan,nan
2589,"Government Degree College, Pithapuram",Pithapuram,Andhra Pradesh,,nan,nan,nan
2590,"Government Degree College, Pokhra",Pauri Garhwal,Uttarakhand,,nan,nan,nan
2591,"Government Degree College, Purola",PUROLA,Uttarakhand,,nan,nan,nan
2592,"Government Degree College, Rajam",Sikakulam,Andhra Pradesh,,nan,nan,nan
2593,"Government Degree College, Rikhnikhal",Rikhnikhal,Uttarakhand,,nan,nan,nan
2594,"Government Degree College, S. Kota",Srungavarapu Kota,Andhra Pradesh,,nan,nan,nan
2595,"Government Degree College, Sabbavaram",Sabbavaram,Andhra Pradesh,,nan,nan,nan
2596,"Government Degree College, Salur",Vizianagaram,Andhra Pradesh,,nan,nan,nan
2597,"Government Degree College, Satpuli",Satpuli,Uttarakhand,,nan,nan,nan
2598,"Government Degree College, Seethanagaram",Seethanagaram,Andhra Pradesh,,nan,nan,nan
2599,"Government Degree College, Sitarganj",SITARGANJ,Uttarakhand,,nan,nan,nan
2600,"Government Degree College, Teliamura",Teliamura,Tripura,,nan,nan,nan
2601,"Government Degree College, Thalisain",Pauri,Uttarakhand,,nan,nan,nan
2602,"Government Degree College, Thatyud",Thatyud,Uttarakhand,,nan,nan,nan
2603,"Government Degree College, Thorrur",Thorrur,Telangana,,nan,nan,nan
2604,"Government Degree College, Tiruvuru",Krishna,Andhra Pradesh,,nan,nan,nan
2605,"Government Degree College, Tuni",Tuni,Andhra Pradesh,,nan,nan,nan
2606,"Government Degree College, Tyuni (Dehradun)",Dehradun,Uttarakhand,,nan,nan,nan
2607,"Government Degree College, Udayagiri",Udayagiri,Andhra Pradesh,,nan,nan,nan
2608,"Government Degree College, V-Madugula",Visakhapatnam,Andhra Pradesh,,nan,nan,nan
2609,"Government Degree College, Wardhannapet",Wardhannapet,Telangana,,nan,nan,nan
2610,"Government Degree College, Yerragondapalem",Yerragondapalem,Andhra Pradesh,,nan,nan,nan
2611,"Government Degree College,Nainbagh",NAINBAGH,Uttarakhand,,nan,nan,nan
2612,"Government Degree Collge, Gandacharra",Dhalai,Tripura,,nan,nan,nan
2613,"Government Degree Collge, Santirbazer",Santirbazar,Tripura,,nan,nan,nan
2614,"Government Degree Degree College, Hyderabad",Hyderabad,Telangana,,nan,nan,nan
2615,Government Dr. Bhagwat Sahay College,GWALIOR,Madhya Pradesh,,nan,nan,nan
2616,Government Dr. Waman Vasudev Patankar Girls College,Durg,Chhattisgarh,,nan,nan,nan
2617,"Government FGC, Hoskote, Bangalore",Bangalore Rural,Karnataka,,nan,nan,nan
2618,"Government First Grade BA, B.Com & BBA College, Raibag",Raibag,Karnataka,,nan,nan,nan
2619,Government First Grade College,MUDALAGI,Karnataka,,nan,nan,nan
2620,Government First Grade College,KRISHNARAJAPETE,Karnataka,,nan,nan,nan
2621,Government First Grade College,Dakshina Kannada,Karnataka,,nan,nan,nan
2622,Government First Grade College,Chikkaballapura,Karnataka,,nan,nan,nan
2623,Government First Grade College,HARIHARA,Karnataka,,nan,nan,nan
2624,"Government First Grade College & PG Center, Chintaman",Chintamani,Karnataka,,nan,nan,nan
2625,"Government First Grade College for Women, Haveri",Haveri,Karnataka,,nan,nan,nan
2626,"Government First Grade College for Women, K.R Pet",K R Pet,Karnataka,,nan,nan,nan
2627,Government First Grade College Gundlupet,Gundlupet,Karnataka,,nan,nan,nan
2628,Government First Grade College Kalgi,Kalagi,Karnataka,,nan,nan,nan
2629,Government First Grade College Zalaki,Zalaki,Karnataka,,nan,nan,nan
2630,"Government First Grade College, Arakalagud",Hassan,Karnataka,,nan,nan,nan
2631,"Government First Grade College, Athani",Athani,Karnataka,,nan,nan,nan
2632,"Government First Grade College, Ayanur",Shimoga,Karnataka,,nan,nan,nan
2633,"Government First Grade College, Banavara",Hassan,Karnataka,,nan,nan,nan
2634,"Government First Grade College, Bangarpet",KOLAR,Karnataka,,nan,nan,nan
2635,"Government First Grade College, Baramasagara",Bharamasagara,Karnataka,,nan,nan,nan
2636,"Government First Grade College, Bilikere",Mysore,Karnataka,,nan,nan,nan
2637,"Government First Grade College, Chikkaballapur Dist.",Gauribidanur,Karnataka,,nan,nan,nan
2638,"Government First Grade College, Chikkabasur",Haveri,Karnataka,,nan,nan,nan
2639,"Government First Grade College, H.D.Kote",Mysore,Karnataka,,nan,nan,nan
2640,"Government First Grade College, Honnali",Davanagere,Karnataka,,nan,nan,nan
2641,"Government First Grade College, Hosadurga",Hosadurga,Karnataka,,nan,nan,nan
2642,"Government First Grade College, Hunagund",Bagalkot,Karnataka,,nan,nan,nan
2643,"Government First Grade College, Javagal",Arsikere Tq.,Karnataka,,nan,nan,nan
2644,"Government First Grade College, Jayanagar",Bangalore,Karnataka,,nan,nan,nan
2645,"Government First Grade College, K R S, S.R Patna",K.R.Sagara,Karnataka,,nan,nan,nan
2646,"Government First Grade College, K.R. Puram, Bangalore",Bengaluru,Karnataka,,nan,nan,nan
2647,"Government First Grade College, Kalasa","Kalasa ,Mudigere Taluk",Karnataka,,nan,nan,nan
2648,"Government First Grade College, Kokatanoor",Kokatanoor,Karnataka,,nan,nan,nan
2649,"Government First Grade College, Koteshwara",Kundapura,Karnataka,,nan,nan,nan
2650,"Government First Grade College, Kundgol.",Kundgol,Karnataka,,nan,nan,nan
2651,"Government First Grade College, Kunigal",Kunigal,Karnataka,,nan,nan,nan
2652,"Government First Grade College, Muddebihal",Bijapur,Karnataka,,nan,nan,nan
2653,"Government First Grade College, Nanjangud",Mysore,Karnataka,,nan,nan,nan
2654,"Government First Grade College, Nyamati",Davanagere,Karnataka,,nan,nan,nan
2655,"Government First Grade College, Parushurampura",Chitradurga,Karnataka,,nan,nan,nan
2656,"Government First Grade College, Sakleshpura",Hassan,Karnataka,,nan,nan,nan
2657,"Government First Grade College, Savalgi",Bagalkot,Karnataka,,nan,nan,nan
2658,"Government First Grade College, Shiralakoppa",Shimoga,Karnataka,,nan,nan,nan
2659,"Government First Grade College, T. Narasipura",Mysore,Karnataka,,nan,nan,nan
2660,"Government First Grade College, Udapura",Hassan,Karnataka,,nan,nan,nan
2661,"Government First Grade College, Vijayanagar",Bangalore,Karnataka,,nan,nan,nan
2662,"Government First Grade College,For Women, Maddur",Maddur,Karnataka,,nan,nan,nan
2663,Government First Grade Degree College for Women,Jamkhandi,Karnataka,,nan,nan,nan
2664,Government First Grade Degree College Gurumitkal,Gurumatkal,Karnataka,,nan,nan,nan
2665,Government First Grade Degree College Raichur,Raichur,Karnataka,,nan,nan,nan
2666,Government First Grade Degree College Yadgir,YADAGIR,Karnataka,,nan,nan,nan
2667,"Government First Grade Degree College, Hulsoor",Hulsoor,Karnataka,,nan,nan,nan
2668,Government Gandhi Degree College Balaji Mihona,MIHONA,Madhya Pradesh,,nan,nan,nan
2669,Government Gandhi Memorial Science College,Jammu,Jammu and Kashmir,,nan,nan,nan
2670,"Government Geetanjali Girls College, Berasia Road, Bhopal",Bhopal,Madhya Pradesh,,nan,nan,nan
2671,Government General Degree College,Jhargram,West Bengal,,nan,nan,nan
2672,"Government General Degree College, Kalna-I",Barddhaman,West Bengal,,nan,nan,nan
2673,Government Girls College,MORENA,Madhya Pradesh,,nan,nan,nan
2674,Government Girls College,DATIA,Madhya Pradesh,,nan,nan,nan
2675,"Government Girls College, Barwani",Barwani,Madhya Pradesh,,nan,nan,nan
2676,"Government Girls College, Ujjain",Ujjain,Madhya Pradesh,,nan,nan,nan
2677,"Government Girls College, Vidisha",Vidisha,Madhya Pradesh,,nan,nan,nan
2678,"Government Girls Degree College Chachora, Beenagang",chachora,Madhya Pradesh,,nan,nan,nan
2679,"Government Girls Degree College Khanpur, Haridwar",khanpur,Uttarakhand,,nan,nan,nan
2680,"Government Girls Degree College, Haldwani",Haldwani,Uttarakhand,,nan,nan,nan
2681,"Government Girls P.G.College, Rewa",Rewa,Madhya Pradesh,,nan,nan,nan
2682,Government Govind Degree College Sebda,SEONDHA,Madhya Pradesh,,nan,nan,nan
2683,"Government Home Science College, Hoshangabad",Hoshangabad,Madhya Pradesh,,nan,nan,nan
2684,"Government Home Science College,Sector-10",Chandigarh,Chandigarh,,nan,nan,nan
2685,Government Hrangbana College,Aizawl,Mizoram,,nan,nan,nan
2686,Government I Grade College,Uttara Kannada,Karnataka,,nan,nan,nan
2687,Government I Grade College Naregal,Naregal,Karnataka,,nan,nan,nan
2688,Government I Grade College Shiggaon,Haveri,Karnataka,,nan,nan,nan
2689,Government Institute of Forensic Science,Nagpur,Maharashtra,,nan,nan,nan
2690,Government Institute Of Forensic Science Aurangabad,Aurangabad,Maharashtra,,nan,nan,nan
2691,"Government Institute of Science, Nagpur",Nagpur,Maharashtra,,nan,nan,nan
