,name,city,state,nirf_rank,ranked,rank,nirfRank
3991,"St.Josephs College, Moolamattom, Arakulam",Arakulam,Kerala,,nan,nan,nan
3992,"St.Jude`s College, Kanyakumari Dist",Thoothoor,Tamil Nadu,,nan,nan,nan
3993,St.Xavier`s College,Thiruvananthapuram,Kerala,,nan,nan,nan
3994,"St.Xavier`s College, Palayamkottai",Palayamkottai,Tamil Nadu,,nan,nan,nan
3995,Standard College,Imphal,Manipur,,nan,nan,nan
3996,Stella Maris College for Women,Chennai,Tamil Nadu,,nan,nan,nan
3997,Subbalakshmi Lakshmipathi College of Sciences,Madurai,Tamil Nadu,,nan,nan,nan
3998,"Subhash College, Morena",KAILARAS,Madhya Pradesh,,nan,nan,nan
3999,"Surana College, Bangalore",Bengaluru,Karnataka,,nan,nan,nan
4000,Suren Das College,Kamrup,Assam,,nan,nan,nan
4001,Surendranath College,Kolkata,West Bengal,,nan,nan,nan
4002,Suri Vidyasagar College,Suri,West Bengal,,nan,nan,nan
4003,"Surya Sen Mahavidyalaya, Darjeeling",Siliguri,West Bengal,,nan,nan,nan
4004,Suryadatta College Of Hospitality Management & Travel Tourism (Schmtt),Pune,Maharashtra,,nan,nan,nan
4005,Suryadatta College of Management Information Research & Technology(Scmirt),Pune,Maharashtra,,nan,nan,nan
4006,"SVCR Degree College, Palamaner Rural",Palamaner,Andhra Pradesh,,nan,nan,nan
4007,"Sves's Arts & Commerce College, Harugeri",Belgaum,Karnataka,,nan,nan,nan
4008,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,,nan,nan,nan
4009,"SVM Arts/Science/Commerce College, Ilkal",Bagalkot,Karnataka,,nan,nan,nan
4010,"Swami Dayananda College of Arts & Science, Tiruvarur",Manjakkudi,Tamil Nadu,,nan,nan,nan
4011,Swami Sahajanand College of Commerce and Management,Bhavnagar,Gujarat,,nan,nan,nan
4012,Swami Shri Swaroopanand Saraswati Mahavidyalaya,Bhilai,Chhattisgarh,,nan,nan,nan
4013,"Swami Vivekanand Government College, Lakhnadon, Seoni",Lakhnadon Seoni,Madhya Pradesh,,nan,nan,nan
4014,Swami Vivekanand Government Degree College Ghurmarwin,Ghumarwin,Himachal Pradesh,,nan,nan,nan
4015,Swami Vivekanand Subharti University,Meerut,Uttar Pradesh,,nan,nan,nan
4016,"Swami Vivekananda Mahavidyalaya, Mohanpur",Agartala,Tripura,,nan,nan,nan
4017,Swami Yogananda Giri College,Kokrajhar,Assam,,nan,nan,nan
4018,"Swatantrya Sainik Shri Kanhaiyalalji Ramchandra Innani Mahavidyalaya,Karanja (Lad), Dist Washim (M.S.)",Karanja (Lad),Maharashtra,,nan,nan,nan
4019,"Syed Ammal College of Arts and Science, Ramanathapuram",Ramanathapuram,Tamil Nadu,,nan,nan,nan
4020,Symbiosis College of Arts and Commerce,Pune,Maharashtra,,nan,nan,nan
4021,T. John College,Bengaluru,Karnataka,,nan,nan,nan
4022,T. S. R. & E. R. R. Government Degree College,Pamarru,Andhra Pradesh,,nan,nan,nan
4023,T.H.B. College,Jamugurihat,Assam,,nan,nan,nan
4024,"T.K.M.College of Arts and Science, Kollam",Kollam,Kerala,,nan,nan,nan
4025,T.R.R. Government Degree College,KANDUKUR,Andhra Pradesh,,nan,nan,nan
4026,"T.S.P.S.M.S.C.M. Managuli Arts College, Sindagi",Sindagi,Karnataka,,nan,nan,nan
4027,T.S.S College,MORENA,Madhya Pradesh,,nan,nan,nan
4028,Tagore Arts College,Puducherry,Pondicherry,,nan,nan,nan
4029,Tagore College of Arts and Science,Chennai,Tamil Nadu,,nan,nan,nan
4030,Takshashila Mahavidyalaya,Amravati,Maharashtra,,nan,nan,nan
4031,Tamralipta Mahavidyalaya,Purba Medinipur,West Bengal,,nan,nan,nan
4032,"Tapi Valley Education Society`s Dhanaji Nana Mahavidyalay, Faizpur",Jalgaon,Maharashtra,,nan,nan,nan
4033,Tara Government College,Sangareddy,Telangana,,nan,nan,nan
4034,Tarakeswar Degree College,Tarakeswar,West Bengal,,nan,nan,nan
4035,"Tata College, Chaibasa",Chaibasa,Jharkhand,,nan,nan,nan
4036,"Tehatta Sadananda Mahavidya, Burdwan",Tehatta,West Bengal,,nan,nan,nan
4037,Tellakula Jalayya Polisetty Somasunadaram College,Guntur,Andhra Pradesh,,nan,nan,nan
4038,"Teresian College, Mysore",Mysuru,Karnataka,,nan,nan,nan
4039,"TES's Bhusawal Arts, Science & P.O.Nahata Commerce College, Bhusawal",Bhusawal,Maharashtra,,nan,nan,nan
4040,Tetso College,Dimapur,Nagaland,,nan,nan,nan
4041,Tezpur College,Sonitpur,Assam,,nan,nan,nan
4042,Thakur Educational Trusts Thakur College of Science and Commerce,Mumbai,Maharashtra,,nan,nan,nan
4043,Thambal Marik College,Bishnupur,Manipur,,nan,nan,nan
4044,Thanthai Hans Roever College,Perambalur,Tamil Nadu,,nan,nan,nan
4045,The American College,Madurai,Tamil Nadu,,nan,nan,nan
4046,"The Graduate School College for Women, Jamshedpur",Jamshedpur,Jharkhand,,nan,nan,nan
4047,"The Gurunanak Vidyak Societys College of Arts Science and Commerce, East Mumbai",MUMBAI,Maharashtra,,nan,nan,nan
4048,"The Kandivli Education Society`s Bhanumati Kishandas Shroff of Arts, Andmaganlal Hargovinddas Shroff College of Commerce",Mumbai,Maharashtra,,nan,nan,nan
