name,city,state,nirfRank,rank
Anil Neerukonda Institute of Technol,Visakhapatnam,Andhra Pradesh,254,nan
Anil Neerukonda Institute of Technology & Sciences,Visakhapatnam,Andhra Pradesh,nan,nan
Anjuman Arts & Commerce College Dharwad,DHARWAD,Karnataka,nan,nan
Anjuman College of Engineering & Technology,Nagpur,Maharashtra,nan,nan
"Anjuman Ishat e Taleem Beed`s Milliya Arts, Science and Management Science College, Beed",Beed,Maharashtra,nan,nan
"Anjuman Khairul Islams Poona College of Arts, Science & Commerce",Pune,Maharashtra,nan,nan
Anjuman-I-Islam`s Kalsekar Technical Campus,New Panvel,Maharashtra,nan,nan
Anna Adarsh College for Women,Chennai,Tamil Nadu,nan,nan
Anna University,Chennai,Tamil Nadu,nan,20
Anna University,nan,nan,49,nan
Anna University ,Chennai,Tamil Nadu,nan,nan
Annai Theresa Arts and Science College,Thirukazhukundram,Tamil Nadu,nan,nan
"Annai Vailankanni College of Arts and Science, Thanjavur",Thanjavur,Tamil Nadu,nan,nan
Annai Vailankanni College of Engineering,Nagercoil,Tamil Nadu,nan,nan
Annai Veilankanni's College for Women,Chennai,Tamil Nadu,nan,nan
Annai Velankanni College,Tholayavattam,Tamil Nadu,nan,nan
Annai Violet Arts and Science College,Chennai,Tamil Nadu,nan,nan
"Annai Women`s College, Karur",Karur,Tamil Nadu,nan,nan
Annama,Annamalainagar,Tamil Nadu,201,nan
Annamacharya Institute of Technology & Sciences,Tirupati,Andhra Pradesh,nan,nan
Annamacharya Institute of Technology & Sciences,Rajampet,Andhra Pradesh,nan,nan
Annamacharya Institute of Technology and Sciences,Kadapa,Andhra Pradesh,nan,nan
Annamacharya PG College of Computer Studies,Rajampet,Andhra Pradesh,nan,nan
Annamalai University,Annamalainagar,Tamil Nadu,nan,nan
Annapoorana Engineering College,Salem,Tamil Nadu,nan,nan
Annasaheb Chudaman Patil Memorial Dental College,Dhule,Maharashtra,nan,nan
"Annasaheb Dange College of Engineering and Technology, Ashta",Ashta,Maharashtra,nan,nan
"Annasaheb Gundawar College, Katol Road",Nagpur-,Maharashtra,nan,nan
Annavaram Satyavati Devi Government College for Women,Kakinada,Andhra Pradesh,nan,nan
"Annoor Dental College, Muvattupuzha",Muvattupuzha,Kerala,nan,nan
Anurag Engineering College,Ananthagiri (V&M),Telangana,nan,nan
Anurag University,Hyderabad,Telangana,140,nan
"Anvarul Islam Women?s Arabic College, Mongam",Malappuram,Kerala,nan,nan
"Anwarul Uloom College (Autonomous), Hyderabad",Hyderabad,Telangana,nan,nan
Apeejay College of Fine Arts Jalandhar,Jalandhar,Punjab,nan,nan
Apeejay Institute of Technology-School of Architecture & Planning,Greater Noida,Uttar Pradesh,nan,nan
Apeejay School of Management,Delhi,Delhi,nan,nan
Appex Institute of Computer and Management Studies,Aurangabad,Maharashtra,nan,nan
Aquinas College,Ernakulam,Kerala,nan,nan
Arasu Engineering College,Thanjavur,Tamil Nadu,nan,nan
