name,city,state,nirfRank,rank
Kalna College,Barddhaman,West Bengal,nan,nan
Kamala Institute of Technology & Science,Karimnagar,Telangana,nan,nan
Kamala Nehru College,Delhi,Delhi,nan,nan
"Kamala Raheja Vidyanidhi Institute of Architecture and Environmental Studies, Mumbai",Mumbai,Maharashtra,nan,nan
Kamaraj College,Thoothukkudi,Tamil Nadu,nan,nan
Kamaraj College of Engineering & Technology,Madurai,Tamil Nadu,nan,nan
"Kamban college of Arts and Science for women, Mathur",Tiruvannamalai,Tamil Nadu,nan,nan
"Kamineni Inst. of Dental Sciences, Narketpally",Nalgonda,Telangana,nan,nan
Kanchi Mamunivar Government Institute for Postgraduate Studies and Research,Puducherry,Pondicherry,nan,nan
Kandaswami Kandars College,Namakkal,Tamil Nadu,nan,nan
Kandra Radha Kanta Kundu Mahavidyalaya,Kandra,West Bengal,nan,nan
Kandula Lakshumma Memorial College of Engineering for Women,Kadapa,Andhra Pradesh,nan,nan
"Kanoria P G Mahila Mahavidyalaya, Jaipur",Jaipur,Rajasthan,nan,nan
Kanya Maha Vidyalaya Jalandhar,Jalandhar,Punjab,nan,nan
"Kanya Mahavidyalaya, Kharkhoda",Sonipat,Haryana,nan,nan
"Karamvir Dadasaheb Kannamwar Engineering College, Nandanvan",Nagpur,Maharashtra,nan,nan
Karim City College Jamshedpur,JAMSHEDUR,Jharkhand,nan,nan
Karmaveer Bahurao Patil Institute of Management Studies & Research,Satara,Maharashtra,nan,nan
Karmaveer Bhaurao Patil College of Engineering,Satara,Maharashtra,nan,nan
"Karmaveer Kakasaheb Wagh Education Societys Arts, Commerce, Science & Computer Science College, Nashik",Nashik,Maharashtra,nan,nan
Karmaveer Mamasaheb Jagdale Mahavidyalaya,Washi,Maharashtra,nan,nan
"Karmaveer Shankarrao Kale Education Society`s Sau.Sushilamai Kale Arts,Commerce & Science College Gautamnagar",Kopargaon,Maharashtra,nan,nan
Karmveer Bhaurao Patil Mahavidyalya,Pandharpur,Maharashtra,nan,nan
"Karnatak Science College, Dharwad",Dharwad,Karnataka,nan,nan
"Karnataka Arts Science & Commerce Degree College, Bidar",Bidar,Karnataka,nan,nan
"Karnataka Sanghas Manjunatha College of Commerce Manjunatha College Building anchagaon, East Thane",Dombivli,Maharashtra,nan,nan
Karnataka State Law University,Dharwad,Karnataka,nan,nan
Karnavati University,Gandhinagar,Gujarat,31,nan
Karpaga Vinayaga College of Engineering and Technology,Chengalpet,Tamil Nadu,nan,nan
Karpaga Vinayaga Institute Of Dental sciences,Chengalpattu,Tamil Nadu,nan,nan
Karpagam College ,Coimbatore,Tamil Nadu,273,nan
Karpagam College of Engineering,Coimbatore,Tamil Nadu,nan,nan
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,107,nan
Kasegaon Education Society`s Rajarambapu Institute of Technology,Islampur,Maharashtra,nan,nan
Kasegaon Education Society`s Smt. Kusumtai Rajarambapu Patil Kanya Mahavidyalaya,Sangli,Maharashtra,nan,nan
Kashi Institute of Technology,Varanasi,Uttar Pradesh,nan,nan
Kasthurba College for Women,Puducherry,Pondicherry,nan,nan
Kasturba Gandhi Degree College for Women,Hyderabad,Telangana,nan,nan
"Kasturba Medical College, Mangalore",nan,nan,31,nan
"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,nan,nan
"Kasturba Medical College, Manipal",nan,nan,10,nan
"Kasturba Medical College, Manipal",Manipal,Karnataka,nan,nan
Kathir College of Arts and Science,Coimbatore,Tamil Nadu,nan,nan
"Katras College, Katrasgarh",DHANBAD,Jharkhand,nan,nan
Katwa College,Barddhaman,West Bengal,nan,nan
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Ramtek,Maharashtra,nan,nan
Kavikulguru Institute of Technology and Science,Ramtek,Maharashtra,nan,nan
"Kavitha Memorial Degree College, NST Road, Khammam",Khammam,Telangana,nan,nan
Kendrapara Autonomous College,Kendrapara,Odisha,nan,nan
Kerala University,Thiruvananthapuram,Kerala,nan,40
Keshav Mahavidyalya,Delhi,Delhi,nan,nan
Keshav Memorial Degree & P.G. College,Hyderabad,Telangana,nan,nan
Keshav Memorial Institute of Technology,Hyderabad,Telangana,nan,nan
Khadir Mohideen College,Adirampattinam,Tamil Nadu,nan,nan
Khalsa College,Amritsar,Punjab,nan,nan
Khalsa College for Women,Amritsar,Punjab,nan,nan
Khammam Institute of Technology & Science,khammam,Telangana,nan,nan
"Khandesh College Education Society?s College of Engineering and Management, Jalgaon",Jalgaon,Maharashtra,nan,nan
Kharagpur College,Kharagpur,West Bengal,nan,nan
Khowang College,Khowang Ghat,Assam,nan,nan
Kidwai Memorial Institute of Oncology,Bangalore,Karnataka,nan,nan
King George`s Medical University,nan,nan,11,nan
King George`s Medical University,Lucknow,Uttar Pradesh,nan,50
Kings College of Engineering,Pudukkottai,Tamil Nadu,nan,nan
Kings Engineering College,Sriperumbudur,Tamil Nadu,nan,nan
Kirloskar Institute of Advanced Management Studies,Harihar,Karnataka,nan,nan
Kirori Mal College,Delhi,Delhi,nan,nan
"Kisan Veer Mahavidyalaya, Wai",Wai,Maharashtra,nan,nan
Kishinchand Chellaram College,Mumbai,Maharashtra,nan,nan
"Km. Mayawati Government Mahila Degree College, Badalpur",Gautam Budh Nagar,Uttar Pradesh,nan,nan
Knowledge Institute of Technology,Salem,Tamil Nadu,nan,nan
"Kodachadri Government First Grade College, Hosanagara",Hosanagara,Karnataka,nan,nan
Kokrajhar Government College,Kokrajhar,Assam,nan,nan
Kolhapur Institute of Technology's Institute of Management Education and Research,Kolhapur,Maharashtra,nan,nan
Kolhapur Institute of Technology`s College of Engineering (Autonomous),Kolhapur,Maharashtra,nan,nan
Kommuri Pratap Reddy Institute of Technology,Hyderabad,Telangana,nan,nan
Konaseema Institute of Medical Sciences Research Foundation,Amalapuram,Andhra Pradesh,nan,nan
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,nan,27
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),nan,nan,47,nan
Kongu Arts & Science College,Erode,Tamil Nadu,nan,nan
Kongu Engineering College,Perundurai,Tamil Nadu,118,nan
Kongunadu Arts & Science College,Coimbatore,Tamil Nadu,nan,nan
Kongunadu College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,nan,nan
Konkan Education Societys Dr Chintamanrao Deshmukh Commerce Sau KG Tamhane Arts College Roha Dist Raigad,ROHA,Maharashtra,nan,nan
"Kopargaon Taluka Education Societys K.J.Somaiya College of Arts,Commerce & Science College, Dist.Ahmednagar",Kopargaon,Maharashtra,nan,nan
Kovai Kalaimagal College of Arts and Science,Coimbatore,Tamil Nadu,nan,nan
Krantiagrani G. D. Bapu Lad Arts College,Sangli,Maharashtra,nan,nan
"Krantiveer Vasantrao Narayanrao Naik Education Societys Arts, Commerce & Science College, Nashik",Nashik,Maharashtra,nan,nan
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sansthas Arts & Commerce College, Dist.Nashik",Dindori,Maharashtra,nan,nan
Krea University,"Sri city, Chittoor",Andhra Pradesh,nan,nan
Krea University,nan,nan,60,nan
"Krishna Engineering College, Ghaziabad",Ghaziabad,Uttar Pradesh,nan,nan
"Krishna Institute of Medical Sciences Deemed University, Karad",nan,nan,42,nan
"Krishna Institute of Medical Sciences Deemed University, Karad",Karad,Maharashtra,nan,73
"Krishna Mahavidyalaya, Rethare BK",Karad,Maharashtra,nan,nan
Krishnadevaraya College of Dental Sciences & Hospital,Bengaluru,Karnataka,nan,nan
Krishnagar Government College,Nadia,West Bengal,nan,nan
Krishnanath College,Murshidabad,West Bengal,nan,nan
Krishnaswamy College of Engineering,Cuddalore,Tamil Nadu,nan,nan
Kristu Jayanti College,Bengaluru,Karnataka,nan,nan
Krupanidhi College of Commerce and Management,Bengaluru,Karnataka,nan,nan
Krupanidhi Degree College,Bangaluru,Karnataka,nan,nan
Kumaraguru College of Technology,Coimbatore,Tamil Nadu,108,nan
Kumararani Meena Muthiah College of Arts and Science,Chennai -,Tamil Nadu,nan,nan
Kumbi College,Bishnupur,Manipur,nan,nan
Kunthavai Naacchiyaar Government Arts College for Women,Thanjavur,Tamil Nadu,nan,nan
Kunwar Satyavira College of Engineering and Management,Bijnor,Uttar Pradesh,nan,nan
Kuppam Engineering College,Kuppam,Andhra Pradesh,nan,nan
"Kuriakose Elias College, Mannanam, Kottayam",Kottayam,Kerala,nan,nan
"Kuriakose Gregorios College, Pampady",Kottayam,Kerala,nan,nan
Kurnool Medical College,Kurnool,Andhra Pradesh,nan,nan
Kurukshe,Kurukshetra,Haryana,274,nan
Kurukshetra University,Kurukshetra,Haryana,nan,nan
Kuvempu University,Shivamogga,Karnataka,nan,86
L N Government College,Thiruvallur,Tamil Nadu,nan,nan
L. N. College of Nursing,Bhopal,Madhya Pradesh,nan,nan
L. N. Medical College,Bhopal,Madhya Pradesh,nan,nan
L. V. D. College,Raichur,Karnataka,nan,nan
"L.B. Mahavidyalaya, Mirjagunj",Jamua,Jharkhand,nan,nan
"L.B.S Government First Grade College, Bangalore",Bangalore,Karnataka,nan,nan
L.B.S. Arya Mahila College,Barnala,Punjab,nan,nan
"L.D.College of Engineering, Ahmedabad",Ahmedabad,Gujarat,nan,nan
L.J.Institue of Engineering and Technology (SFI) - Ahmedabad,Ahmadabad,Gujarat,nan,nan
L.J.Institute of Computer Applications (SFI)-Ahmedabad,Ahmedabad,Gujarat,nan,nan
"LBS College, Sironj, Vidisha",SIRONJ,Madhya Pradesh,nan,nan
LDC Institute of Technical Studies,Soraon Allahabad,Uttar Pradesh,nan,nan
LNCT University,Bhopal,Madhya Pradesh,nan,nan
LRG Government Arts College for Women,Tiruppur,Tamil Nadu,nan,nan
"Lady Amritabai Daga College for Women of Arts, Commerce and Science and Smt. Ratnidevi Purohi College of Home Science and Technology",Nagpur,Maharashtra,nan,nan
Lady Doak College,Madurai,Tamil Nadu,nan,nan
Lady Hardinge Medical College,New Delhi,Delhi,nan,nan
Lady Hardinge Medical College,nan,nan,29,nan
Lady Irwin College,Delhi,Delhi,nan,nan
Lady Shri Ram College For Women,New Delhi,Delhi,nan,nan
Lakhimpur Girls College,North Lakhimpur,Assam,nan,nan
Lakireddy Bali Reddy College ,Mylavaram,Andhra Pradesh,275,nan
Lakireddy Bali Reddy College of Engineering,Mylavaram,Andhra Pradesh,nan,nan
Lakshmi Bai College,Delhi,Delhi,nan,nan
Lakshmi Narain College,Bhopal,Madhya Pradesh,276,nan
Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh,nan,nan
Lakshmi Narain College of Technology & Science,Bhopal,Madhya Pradesh,nan,nan
Lakshmi Narain College of Technology Excellence,Bhopal,Madhya Pradesh,nan,nan
"Lal Bahadur Shastri College of Arts, Science and Commerce",Satara,Maharashtra,nan,nan
Lal Bahadur Shastri Memorial College,Jamshedpur,Jharkhand,nan,nan
Lamka College,Churachandpur,Manipur,nan,nan
"Late Bhaskarrao Shingane Arts, Prof. Narayanrao Gawande Science and Ashalata Gawande Commerce College","Sakharkherda, District-Buldana",Maharashtra,nan,nan
"Late Dattatraya Pusadkar Kala Mahavidyalaya, Nandgaon Peth",Amravati,Maharashtra,nan,nan
"Late Narayanrao Amritrao Deshmukh Arts, Commerce College, Chandur Bazar",Chandur Bazar,Maharashtra,nan,nan
Late Ramesh Warpudkar Arts & Commerce College,Sonpeth,Maharashtra,nan,nan
"Late Sow. Kamaltai Jamkar Mahila Mahavidyalaya, Parbhani",Parbhani,Maharashtra,nan,nan
"Late Sow. Sheshabai Sitaram Munde Arts College, Gangakhed",Gangakhed,Maharashtra,nan,nan
"Laxmi Institute of Technology, Valsad",Valsad,Gujarat,nan,nan
Laxmibai Bhaurao Patil Mahila Mahavidyalaya,Solapur,Maharashtra,nan,nan
Laxminarayan Institute,Nagpur,Maharashtra,277,nan
Laxminarayan Institute of Technology,Nagpur,Maharashtra,nan,nan
Ledo College,Tinsukia,Assam,nan,nan
Lendi Institute of Engineering & Technology,Vizianagaram,Andhra Pradesh,nan,nan
Liberal College,Imphal East,Manipur,nan,nan
Lilong Haoreibi College,Thoubal,Manipur,nan,nan
Lingaya`s Vidyapeeth,Faridabad,Haryana,nan,nan
Lingayas Institute of Management and Technology,Vijayawada,Andhra Pradesh,nan,nan
Little Flower College,Guruvayoor,Kerala,nan,nan
Little Flower Degree College,Boduppal,Telangana,nan,nan
"Lolmangal Bio-Technology College, Dist.-Solapur",Wadala,Maharashtra,nan,nan
"Lonavala Education Trust`s Arts & Commerce College, Lonavala",Pune,Maharashtra,nan,nan
Lords Institute of Engineering & Technology,Hyderabad,Telangana,nan,nan
Loreto College,Kolkata,West Bengal,nan,nan
Lourdes Matha College of Science and Technology,Trivandrum,Kerala,nan,nan
Lovely Professional University,Phagwara,Punjab,nan,47
Lovely Professional University,nan,nan,34,nan
Loyala Academy,Hyderabad,Telangana,nan,nan
Loyala First Grade Degree College,MANVI-584123,Karnataka,nan,nan
Loyola College,Chennai,Tamil Nadu,nan,nan
Loyola College of Social Sciences,Thiruvananthapuram,Kerala,nan,nan
"Loyola College, Vettavalam",Tiruvannamalai,Tamil Nadu,nan,nan
Loyola Degree College,Cuddapah,Andhra Pradesh,nan,nan
Loyola Institute of Business Administration,nan,nan,86,nan
Loyola Institute of Technology,Chennai,Tamil Nadu,nan,nan
Loyola Institute of Technology and Science,Nagercoil,Tamil Nadu,nan,nan
Loyola-ICAM College of Engineering and Technology,Chennai,Tamil Nadu,nan,nan
Lucknow Public College of Professional Studies,Lucknow,Uttar Pradesh,nan,nan
Lukhdhirji Engineering College,Morbi,Gujarat,nan,nan
Lumding College,Lumding,Assam,nan,nan
Luxmi Bai Institute of Dental Sciences & Hospital,Patiala,Punjab,nan,nan
"M G College, Dumka",Dumka,Jharkhand,nan,nan
M R Ambedkar Dental College & Hospital Institute,Bengaluru,Karnataka,nan,nan
"M S Ramaiah College of Arts, Science, and Commerce",Bengaluru,Karnataka,nan,nan
"M V N University, Palwal",Palwal,Haryana,nan,nan
M. A. M. College of Engineering and Technology,Tiruchirappalli,Tamil Nadu,nan,nan
M. D. K. Girls` College,Dibrugarh,Assam,nan,nan
"M. E. S College, Marampally, Aluva",Ernakulam,Kerala,nan,nan
M. G. R. Educational and Rese,Chennai,Tamil Nadu,223,nan
M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,nan,nan
M. G. Science Institute,Ahmedabad,Gujarat,nan,nan
M. I. E. T. Engineering College,Tiruchirappalli,Tamil Nadu,nan,nan
M. Kumarasamy College of Engineering,Karur,Tamil Nadu,nan,nan
M. M. E. S. Women`s Arts & Science College,Vellore,Tamil Nadu,nan,nan
M. R. Government Arts College,MANNARGUDI,Tamil Nadu,nan,nan
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,67,nan
M. S. Ramaiah Medical College,Bengaluru,Karnataka,nan,nan
M. S. Ramaiah Medical College,nan,nan,38,nan
M. U. C. Women`s College,Burdwan,West Bengal,nan,nan
M. V. S. Government Degree & P. G. College,Mahabubnagar,Telangana,nan,nan
"M.C.E. Society`s Abeda Inamdar Senior College of Arts, Science and Commerce (Autonomous), Pune",Pune,Maharashtra,nan,nan
"M.D.S.D. Girls College, Ambala City",Ambala City,Haryana,nan,nan
M.E.S College,Kottayam,Kerala,nan,nan
"M.E.S College of Arts, Science & Commerce, Malleshwaram",Bengaluru,Karnataka,nan,nan
"M.E.S. Arts, Commerce College, Mehakar",Mehkar,Maharashtra,nan,nan
"M.G.M`S College of Engineering, Nanded",Nanded,Maharashtra,nan,nan
"M.H. Shinde Arts and Commerce College, Tisangi",Kolhapur,Maharashtra,nan,nan
M.J. College,Bhilai,Chhattisgarh,nan,nan
"M.J.R. College of Engineering & Technology, Pulicherla",Chittoor,Andhra Pradesh,nan,nan
"M.N. College, Shahabad-Markanda",Shahabad Markanda,Haryana,nan,nan
"M.P. SHAH MEDICAL COLLEGE, JAMNAGAR",Jamnagar,Gujarat,nan,nan
M.P. Shah Arts & Science College,Surendranagar,Gujarat,nan,nan
"M.R. Degree College, Vizianagaram",Vizianagaram,Andhra Pradesh,nan,nan
"M.S. Bidwe College of Engineering, Latur",Latur,Maharashtra,nan,nan
M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,14,nan
"M.S.P. Mandal`s Arts,Science & Commerce College, Kille Dharur",Beed,Maharashtra,nan,nan
"M.S.P.Mandal's Chhatrapati shahu Arts,Commerce & Science College",Aurangabad,Maharashtra,nan,nan
M.V.Muthiah Government Arts College for Women,Dindigul,Tamil Nadu,nan,nan
MAHATMA GANDHI MEDICAL COLLEGE AND RESEARCH INSTITUTE,Puducherry,Pondicherry,nan,nan
"MALABAR DENTAL COLLEGE, MUNDUR",EDAPPAL,Kerala,nan,nan
"MALD Government Degree College, Gadwal",GADWAL,Telangana,nan,nan
MATS University,Raipur,Chhattisgarh,nan,nan
MCKV Institute of Engineering,Howrah,West Bengal,nan,nan
"MES Asmabi College, Kodungallur",Thrissur,Kerala,nan,nan
MES Engineering College,Malappuram District,Kerala,nan,nan
"MES Kalladi College, Mannarkkad",Palakkad,Kerala,nan,nan
MES Keveeyam College,Valanchary,Kerala,nan,nan
"MES Ponnani College, Ponnani",Malappuram,Kerala,nan,nan
MES T. O. Abdulla Memorial College Kunnukara,Aluva,Kerala,nan,nan
"MG College, Thiruvananthapuram",Thiruvananthapuram,Kerala,nan,nan
"MGM Dental College, Navi Mumbai",Navi Mumbai,Maharashtra,35,nan
"MGM Institute of Health Sciences, Navi Mumbai",Navi Mumbai,Maharashtra,nan,nan
"MGTSM's Arts,Science & Commerce College, Chopda",Chopda,Maharashtra,nan,nan
"MGVC Arts/Science/Commerce College, Muddebihal",VIJAYAPURA,Karnataka,nan,nan
"MGVs Karmaveer Bhausaheb Hire Dental College, Nashik",Nashik,Maharashtra,37,nan
MICA,nan,nan,42,nan
MIT Academy of Engineering,Pune,Maharashtra,nan,nan
"MIT Art, Design and Technology University, Pune",Pune,Maharashtra,nan,nan
"MIT Arts, Commerce and Science College, Pune",Pune,Maharashtra,nan,nan
"MKLMs, B L Amlani College of Commerce & Economivs & M R Nathwani College of Arts",Mumbai,Maharashtra,nan,nan
"MKR Government College, Devarkonda",DEVARAKONDA,Telangana,nan,nan
MKSSS`s Cummins College of Engineering for Women,Nagpur,Maharashtra,nan,nan
"MLA Academy of Higher Learning, 14th Cross, Malleswaram",Bangalore,Karnataka,nan,nan
"MLB Girls College, Bhopal",Bhopal,Madhya Pradesh,nan,nan
MLR Institute of Technology,Hyderabad,Telangana,nan,nan
MM College of Technology,Raipur,Chhattisgarh,nan,nan
MNR College of Engineering & Technology,Sangareddy,Telangana,nan,nan
MNR Dental College,Sangareddy,Telangana,nan,nan
"MNR Medical College, Sanagareddy","Sanga Reddy, Hyderabad",Telangana,nan,nan
MOP Vaishnav College for Women,Chennai,Tamil Nadu,nan,nan
MP Deo Memorial Science College,Nagpur,Maharashtra,nan,nan
"MPESs SDM Arts, Science, Commerce & B.B.A. College, Honnavar",Uttara Kannada,Karnataka,nan,nan
"MPM MSN Trust College, Shornur",Palakkad,Kerala,nan,nan
MRR Institute of Technology & Science,Udayagiri,Andhra Pradesh,nan,nan
MSR National Degree College,visakhapatnam,Andhra Pradesh,nan,nan
MSRS Siddardha Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
MVJ College of Engineering,Bengaluru,Karnataka,nan,nan
MVR College of Engineering & Technology,Vijayawada,Andhra Pradesh,nan,nan
MVR Degree College,Visakhapatnam,Andhra Pradesh,nan,nan
MVSR Engineering College,Hyderabad,Telangana,nan,nan
Maa Santi Devi College Kutghan Sabalgarh,SABALGARH,Madhya Pradesh,nan,nan
"Maa Shanti Devi Mahavidyalaya, Badokhar,Morena",MORENA,Madhya Pradesh,nan,nan
Madan Mohan Malaviya University,Gorakhpur,Uttar Pradesh,278,nan
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,nan,nan
Madanapalle Institute of Techno,Madanapalle,Andhra Pradesh,279,nan
Madanapalle Institute of Technology & Science,Madanapalle,Andhra Pradesh,nan,nan
"Madhav Institute of Technology and Science, Gwalior",Gwalior,Madhya Pradesh,nan,nan
Madhav Mahavidyalaya,GWALIOR,Madhya Pradesh,nan,nan
"Madhav Science College, Kothi Road, Ujjain",Ujjain,Madhya Pradesh,nan,nan
Madhuben and Bhanubhai Patel Institute of Technology,New Vallabh Vidyanagar,Gujarat,nan,nan
"Madhupur College, Deoghar",MADHUPUR,Jharkhand,nan,nan
Madras Christian College,Chennai,Tamil Nadu,nan,nan
"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,nan,nan
"Madras Medical College & Government General Hospital, Chennai",nan,nan,12,nan
Madras School of Social Work,Chennai,Tamil Nadu,nan,nan
Madura College,Madurai,Tamil Nadu,nan,nan
Madurai Institute of Social Science College,Madurai,Tamil Nadu,nan,nan
Madurai Kamaraj University,Madurai,Tamil Nadu,nan,52
"Madurai Sivakasi Nadar Pioneer Meenaksmi Women college, Poovanthi",Sivaganga,Tamil Nadu,nan,nan
Mahamandleshwar Shri Krishnanandji College of Commerce,Bharuch,Gujarat,nan,nan
"Mahamaya Government Degree College, Sherkot",Bijnor,Uttar Pradesh,nan,nan
Maharaj Vijayaram Gajapathi Raj College of Engineering,Vizianagaram,Andhra Pradesh,nan,nan
Maharaja Agrasen College,Delhi,Delhi,nan,nan
Maharaja Agrasen Institute,Delhi,Delhi,224,nan
Maharaja Agrasen Institute of Technology,Delhi,Delhi,nan,nan
Maharaja Bir Bikram College,Agartala,Tripura,nan,nan
Maharaja Ganga Singh Dental College & Research Centre,Sri Ganganagar,Rajasthan,nan,nan
"Maharaja Institute of Technology, Mysore",Mandya,Karnataka,nan,nan
Maharaja Ranjit Singh State Technical University,Bathinda,Punjab,nan,nan
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,149,nan
Maharaja Surajmal Institute,West,Delhi,nan,nan
Maharaja Surajmal Institute of Technology,New Delhi,Delhi,nan,nan
"Maharaja`s College, Ernakulam",Ernakulam,Kerala,nan,nan
Maharani Lakshmi Ammani Womens College,Bangalore,Karnataka,nan,nan
"Maharani Laxmibai Arts and Commerce College, Gwalior",Gwalior,Madhya Pradesh,nan,nan
Maharani's Science College for Women,Mysore,Karnataka,nan,nan
Maharani's Women's Commerce and Management College,Mysore,Karnataka,nan,nan
"Maharashtra Education Society`s Abasaheb Garware College of Arts and Science, Pune",Pune,Maharashtra,nan,nan
"Maharashtra Education Society`s Garware College of Commerce, Karve Road, Pune",Pune,Maharashtra,nan,nan
"Maharashtra National Law University, Nagpur",Nagpur,Maharashtra,nan,nan
"Maharashtra Udaygiri Mahavdiyalaya, Udgir",Udgir,Maharashtra,nan,nan
Maharishi Markandeshwar,Ambala,Haryana,nan,91
Maharishi Markandeshwar,nan,nan,32,nan
Maharshi College of Natural Law,Bhubaneswar,Odisha,nan,nan
Maharshi Dayanand College of Arts Science & Commerce,Mumbai City,Maharashtra,nan,nan
Maharshi Dayanand University,Rohtak,Haryana,nan,94
"Maharshi Dayanand University, Rohtak",Rohtak,Haryana,nan,nan
Maharshi Karve Stree Shikshan Samstha's Cummins College of Enginee,Pune,Maharashtra,225,nan
Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,Pune,Maharashtra,nan,nan
Maharshi Karve Stree Shikshan Samstha's School of Fashion Technology,Pune,Maharashtra,nan,nan
"Mahatama Gandhi Vidyamandir Sansthas Arts Mahavidyalaya, Dist.Nashik",Nashik,Maharashtra,nan,nan
"Mahatama Gandhi Vidyamandirs Arts,Science & Commerce College, Manmad, Nashik",Nandgaon,Maharashtra,nan,nan
"Mahatama Gandhi Vidyamandirs Loknete Vyankatrao Hiray Mahavidyalaya Arts,Science & Commerce, Dist.Nashik",Nashik,Maharashtra,nan,nan
Mahatma Education Society's Pillai's College of Architecture,New Panvel,Maharashtra,nan,nan
"Mahatma Education Society's, Pillai HOC College of Engineering and technology",Raigarh,Maharashtra,nan,nan
Mahatma Education Societys Night College of Arts & Commerce Chembur Naka Chembur Mumbai,Mumbaimumbai,Maharashtra,nan,nan
"Mahatma Education Societys Pillai HOC College of Arts, Science and Commerce",Rasayani,Maharashtra,nan,nan
Mahatma Education Societys Pillais College of Arts Commerce & Science Dr. K.M.Vasudevan Pillas Campus,New Panvel,Maharashtra,nan,nan
"Mahatma Gandhi Arts, Science & Late Nasaruddhinbhai Panjwani Commerce College",Armori,Maharashtra,nan,nan
Mahatma Gandhi Government Arts College,Mahe,Pondicherry,nan,nan
Mahatma Gandhi Institute,Hyderabad,Telangana,280,nan
"Mahatma Gandhi Institute of Medical Sciences, Wardha",Wardha,Maharashtra,nan,nan
Mahatma Gandhi Institute of Technology,Hyderabad,Telangana,nan,nan
Mahatma Gandhi Medical College and Research Institute,nan,nan,47,nan
"Mahatma Gandhi Memorial College, Udupi",Udupi,Karnataka,nan,nan
"Mahatma Gandhi Mission's Medical College,Navi Mumbai",Raigarh,Maharashtra,nan,nan
Mahatma Gandhi Mission`s Jawaharlal Nehru Engineering College,Aurangabad,Maharashtra,nan,nan
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,nan,30
Mahatma Gandhi Vidyamandir?s Arts & Commerce College,Dist. Nashik,Maharashtra,nan,nan
"Mahatma Phule Arts, Science and Commerce College",Raigarh,Maharashtra,nan,nan
Mahaveer Institute of Science &Technology,Hyderabad,Telangana,nan,nan
"Mahayogi Guru Gorakhnath Government Degree College,Bithyani (Yamkeshwar)",Kotdwar,Uttarakhand,nan,nan
Mahe Institute of Dental Sciences & Hospital,Mahe,Pondicherry,nan,nan
Mahendra Arts & Science College,Namakkal,Tamil Nadu,nan,nan
Mahendra College of Engineering,Salem,Tamil Nadu,nan,nan
Mahendra Engineering College,Namakkal,Tamil Nadu,nan,nan
Mahendra Institute of Technology,Namakkal,Tamil Nadu,nan,nan
Maheshtala College,Kolkata,West Bengal,nan,nan
"Mahila College, Chaibasa",Chaibasa,Jharkhand,nan,nan
"Mahila College, Godda",Godda,Jharkhand,nan,nan
"Mahila Mahavidyalaya, Jog Chowk, Amravati",Amravati,Maharashtra,nan,nan
"Mahila Mahavidyalaya, Mangalwar Peth, Karad",Karad,Maharashtra,nan,nan
"Mahila Mahavidyalaya, Nagpur",Nagpur,Maharashtra,nan,nan
"Mahilaratna Pushpatai Hiray Arts, Science and Commerce Mahila Mahavidyalaya",Nashik,Maharashtra,nan,nan
Mahindra University,Hyderabad,Telangana,154,nan
Mahishadal Raj College,Purba Medinipur,West Bengal,nan,nan
Mailam Engineering College,Viluppuram,Tamil Nadu,nan,nan
Maitreyi College,New Delhi,Delhi,nan,nan
"Majlis Arts & Science College, Puramannur",Malappuram,Kerala,nan,nan
Majuli College P.O. Majuli,Jorhat,Assam,nan,nan
Malabar College of Advanced Studies,Malappuram Dt,Kerala,nan,nan
Malankara Catholic College,Kanniyakumari,Tamil Nadu,nan,nan
Malaviya National Institute of Technology,Jaipur,Rajasthan,46,nan
Malda College-District Malda,District Malda,West Bengal,nan,nan
Malla Reddy College of Engineering and Technolog,Secunderabad,Telangana,281,nan
Malla Reddy College of Engineering and Technology (Autonomous),Secunderabad,Telangana,nan,nan
Malla Reddy Engin,Hyderabad,Telangana,226,nan
Malla Reddy Engineering College,Hyderabad,Telangana,nan,nan
Malla Reddy Engineering College for Women,Hyderabad,Telangana,nan,nan
Malla Reddy Institute of Dental Sciences,Hyderabad,Telangana,nan,nan
Malla Reddy Institute of Engineering and Technology,Secunderabad,Telangana,nan,nan
Malla Reddy Institute of Technology & Science,Secunderabad,Telangana,nan,nan
Mallabhum Institute of Technology,Bankura,West Bengal,nan,nan
"Malnad College of Engineering, Hassan",Hassan,Karnataka,nan,nan
